indicator,ticker,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,
Receivables,KO,4533000000.0,5630000000.0,5131000000.0,4920000000.0,4814000000.0,5397000000.0,5083000000.0,4759000000.0,5007000000.0,5516000000.0,5116000000.0,4873000000.0,5233000000.0,5870000000.0,5081000000.0,4466000000.0,4461000000.0,4976000000.0,4028000000.0,3941000000.0,4147000000.0,4768000000.0,4082000000.0,3856000000.0,3702000000.0,4024000000.0,3664000000.0,3667000000.0,3904000000.0,4565000000.0,3702000000.0,3396000000.0,3852000000.0,4888000000.0,4353000000.0,
Receivables,LLY,3694300000.0,3833600000.0,3533200000.0,3597700000.0,3402100000.0,3181700000.0,3268200000.0,3336300000.0,3439700000.0,3579100000.0,3445000000.0,3434400000.0,3002900000.0,3187900000.0,3053500000.0,3234600000.0,3142500000.0,3348800000.0,3401900000.0,3513000000.0,3622600000.0,3947900000.0,3848500000.0,4029400000.0,4017200000.0,4349900000.0,4401300000.0,4546300000.0,4495100000.0,4823000000.0,4859400000.0,5246500000.0,4200500000.0,4612500000.0,4441700000.0,
Receivables,LMT,0.0,0.0,0.0,4961000000.0,0.0,0.0,0.0,5630000000.0,0.0,0.0,0.0,600000000.0,0.0,0.0,0.0,4577000000.0,0.0,0.0,0.0,5734000000.0,0.0,0.0,0.0,6877000000.0,0.0,0.0,0.0,6337000000.0,9405000000.0,9281000000.0,9769000000.0,9472000000.0,10497000000.0,10388000000.0,11004000000.0,
Receivables,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Receivables,MA,642000000.0,713000000.0,763000000.0,808000000.0,812000000.0,844000000.0,912000000.0,925000000.0,941000000.0,949000000.0,990000000.0,966000000.0,995000000.0,1134000000.0,1071000000.0,1109000000.0,1072000000.0,1128000000.0,1081000000.0,1079000000.0,1186000000.0,1203000000.0,1298000000.0,1416000000.0,1553000000.0,1708000000.0,1858000000.0,1969000000.0,2122000000.0,2164000000.0,2277000000.0,2276000000.0,2577000000.0,2607000000.0,2500000000.0,
Receivables,MCD,1160300000.0,1249100000.0,1203900000.0,1334700000.0,1234400000.0,1290600000.0,1277300000.0,1375300000.0,1230000000.0,1301900000.0,1285300000.0,1319800000.0,1229700000.0,1294500000.0,1226700000.0,1214400000.0,1091800000.0,1178600000.0,1136200000.0,1298700000.0,1162100000.0,1267100000.0,1349800000.0,1474100000.0,1336700000.0,1457300000.0,1569000000.0,1976200000.0,1951600000.0,2217200000.0,2266800000.0,2441500000.0,1992700000.0,2055000000.0,2005300000.0,
Receivables,MDLZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52000000.0,0.0,0.0,0.0,3802000000.0,4061000000.0,3294000000.0,3352000000.0,2634000000.0,3101000000.0,2796000000.0,3019000000.0,2611000000.0,3035000000.0,2395000000.0,2981000000.0,2691000000.0,3113000000.0,2416000000.0,2732000000.0,2262000000.0,2781000000.0,2179000000.0,2492000000.0,
Receivables,MDT,3761000000.0,3745000000.0,3837000000.0,3665000000.0,3808000000.0,3448000000.0,3612000000.0,3532000000.0,3727000000.0,3627000000.0,3792000000.0,3619000000.0,3811000000.0,3690000000.0,3750000000.0,0.0,5112000000.0,4811000000.0,5044000000.0,4863000000.0,5562000000.0,5357000000.0,5661000000.0,5453000000.0,5591000000.0,5784000000.0,5752000000.0,5775000000.0,5987000000.0,5674000000.0,5743000000.0,5854000000.0,6222000000.0,5894000000.0,6118000000.0,
Receivables,MET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13200000000.0,12700000000.0,12600000000.0,12300000000.0,12300000000.0,4120000000.0,4298000000.0,3990000000.0,4187000000.0,3988000000.0,4198000000.0,3884000000.0,4197000000.0,3988000000.0,3984000000.0,3970000000.0,3692000000.0,3524000000.0,3638000000.0,3512000000.0,3691000000.0,3582000000.0,3569000000.0,0.0,3561000000.0,
Receivables,MMM,4209000000.0,4385000000.0,4259000000.0,3867000000.0,4323000000.0,4364000000.0,4409000000.0,4061000000.0,4418000000.0,4542000000.0,4594000000.0,4253000000.0,4598000000.0,4759000000.0,4711000000.0,4238000000.0,4408000000.0,4578000000.0,4610000000.0,4154000000.0,4485000000.0,4667000000.0,4743000000.0,4392000000.0,4722000000.0,4919000000.0,5156000000.0,4911000000.0,5252000000.0,5383000000.0,5329000000.0,5020000000.0,5173000000.0,5374000000.0,5020000000.0,
Receivables,MO,0.0,0.0,0.0,0.0,59000000.0,29000000.0,15000000.0,0.0,42000000.0,21000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Receivables,MRK,0.0,0.0,0.0,0.0,0.0,0.0,7952000000.0,7672000000.0,7965000000.0,7779000000.0,7578000000.0,7184000000.0,7188000000.0,7022000000.0,6515000000.0,6626000000.0,6670000000.0,6510000000.0,6414000000.0,6484000000.0,6850000000.0,6916000000.0,7364000000.0,7018000000.0,7066000000.0,7439000000.0,7671000000.0,6873000000.0,7245000000.0,7287000000.0,7374000000.0,7071000000.0,7608000000.0,7964000000.0,8442000000.0,
Receivables,MS,8840000000.0,9911000000.0,9392000000.0,9444000000.0,10263000000.0,10208000000.0,10399000000.0,10756000000.0,30615000000.0,34571000000.0,37734000000.0,36545000000.0,41575000000.0,48630000000.0,51465000000.0,57119000000.0,60446000000.0,66424000000.0,69010000000.0,72559000000.0,75566000000.0,77283000000.0,80400000000.0,81704000000.0,83302000000.0,87007000000.0,91207000000.0,92953000000.0,95124000000.0,96366000000.0,98330000000.0,99815000000.0,101266000000.0,105145000000.0,110815000000.0,
Receivables,MSFT,10033000000.0,14987000000.0,10153000000.0,13643000000.0,10961000000.0,15780000000.0,9871000000.0,14317000000.0,11991000000.0,17486000000.0,11007000000.0,15986000000.0,13497000000.0,19544000000.0,12887000000.0,16186000000.0,12427000000.0,17908000000.0,11444000000.0,14507000000.0,12247000000.0,18277000000.0,11129000000.0,14343000000.0,12882000000.0,19792000000.0,14561000000.0,18428000000.0,17208000000.0,26481000000.0,17390000000.0,19680000000.0,19269000000.0,29524000000.0,19087000000.0,
Receivables,NEE,1285000000.0,1633000000.0,1689000000.0,1372000000.0,1262000000.0,1466000000.0,1633000000.0,1487000000.0,1366000000.0,1809000000.0,1888000000.0,1777000000.0,1904000000.0,1978000000.0,2022000000.0,1805000000.0,1718000000.0,1883000000.0,1961000000.0,1784000000.0,1574000000.0,1816000000.0,1921000000.0,1784000000.0,1635000000.0,1950000000.0,2147000000.0,2220000000.0,1881000000.0,2230000000.0,2454000000.0,2302000000.0,2191000000.0,2553000000.0,2717000000.0,
Receivables,NFLX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
