end_date,ann_date,f_ann_date,basic_eps,total_revenue,total_cogs,int_exp,oper_exp,operate_profit,n_income,ebit,ebitda,accounts_receiv,inventories,amor_exp,total_cur_assets,intan_assets,r_and_d,goodwill,total_assets,acct_payable,total_cur_liab,total_liab,c_cash_equ_end_period
20200331,20200430,20200430,-0.074,2499333008.14,2410833482.38,,,101525333.71,51070646.08,209647032.74,,1448286826.54,1997157765.66,,8101548903.82,759076285.1,618250163.26,1420912.56,21718947038.98,1177914483.26,11545246555.39,14142207016.98,2249206184.62
20191231,20200430,20200430,0.1,11071784242.87,13207694147.92,,,520857362.49,323265742.43,-286734375.31,601567685.41,1689982686.4,1962794513.89,,7684306821.61,752589413.92,599170960.62,1420912.56,21465563454.73,1292965570.47,9929311686.27,13783024398.47,1660561290.86
20190930,20191031,20191031,1.3,8311704808.14,8374221086.98,,,1625628486.87,1469712759.48,461921186.99,,2171241681.64,2244667067.34,,9251226303.94,914531792.13,939818851.04,26471438.3,24592135696.73,1360995651.5,11213443707.55,15778845247.34,1850651619.34
20190630,20190820,20190820,0.055,5665654656.6,5398902688.24,,,333450203.25,226932238.18,572681401.86,1009674525.73,2020032775.76,2129675257.31,,6371422093.0,1012310718.85,1499436727.79,26471438.3,22286678481.51,1306546609.95,10113412219.08,14682187542.2,1162804206.06
20190331,20190423,20190423,0.033,2797540454.36,2596961596.16,,,215049129.83,155145162.4,329443165.95,,1796952505.19,1894272853.92,,6007708776.8,1002940115.88,1473090244.68,26471438.3,21865686561.25,,9628163997.25,14331048199.36,1323323790.6
20181231,20190423,20190423,-0.51,10187440965.16,10483362863.09,,,-102980182.07,-236971588.7,318736599.38,1066126686.15,1472801931.65,2015002871.7,,6087791068.33,1047316544.88,1348298745.13,26471438.3,21853646480.95,1300417753.53,9556936366.2,14475028345.16,1620536280.73
20180930,20181030,20181030,0.007,7804691797.38,7621411603.27,,,336036380.35,267371267.29,542969583.68,,1535774056.97,2061613724.47,,6674347682.6,874663579.92,1312179138.02,40895322.48,22162374477.42,,8989697420.45,14284269618.65,2200903407.4
20180630,20180828,20180828,0.015,5331417995.09,5160286380.03,,,312264738.75,242533224.37,427798017.11,786522085.38,1742492420.08,2004995000.62,,7075265124.87,844831944.8,1181774346.06,40895322.48,22179419290.74,1091524918.27,8673996647.0,14323878502.17,2024696312.47
20180331,20180427,20180427,0.011,2821692577.88,2705775190.47,,,148362649.69,130511771.18,246535378.12,,1614750507.58,2034988388.61,,6883716410.73,809164609.64,1131804635.27,40895322.48,21747043688.55,999382065.19,8030436699.74,13738750315.44,1848571295.4
20171231,20180327,20180327,0.01,10571526723.16,10410008541.24,,,248884458.78,231566223.25,555028573.27,1230950581.98,1292671215.37,2049124538.14,,6944131941.27,796500163.19,1029941656.35,40895322.48,21636418678.91,1025968722.06,8080988712.06,13761135195.76,2279785125.04
20170930,20171031,20171031,0.005,8176307995.86,7922519740.94,,,303766262.77,179036852.39,545150242.17,,1611237196.95,2055908798.02,,7653857164.39,832517474.66,920659817.48,68122522.48,21909875745.59,1013489066.25,8127473733.42,13737771093.21,2565900688.29
20170630,20170822,20170822,0.014,5505183389.05,5317244389.99,,,223882903.27,138240968.02,353244078.52,689092461.66,1710215883.38,2031725681.58,,7281641457.18,836923318.5,827308291.28,68122522.48,21376668825.96,1203057370.38,8214327284.0,13246574135.74,2352841369.94
20170331,20170428,20170428,0.007,2737986619.26,2618316746.86,,,130301072.97,80321592.01,208557075.69,,1643130285.43,1975891113.09,,7272583286.6,871126885.21,688227254.67,68122522.48,21133754605.81,1017227157.28,7560083839.92,13014576285.52,2507872820.59
20161231,20170418,20170418,-0.1,9733423460.1,9792974277.2,,,11961445.11,61852851.8,228544605.92,835904249.23,1277700700.88,2063187177.54,,7221143139.61,847992338.41,648116293.53,68122522.48,20758272494.07,1032661523.68,7346169020.65,12719039884.56,2630478027.97
20160930,20161029,20161029,0.03,7335716106.93,7279624528.34,,,132217074.91,164131530.31,,,1473863082.46,2050608076.7,,6994041088.89,824826576.38,468170503.11,92602522.48,20031835300.91,1022697144.88,6367449071.33,11890550578.15,1991733011.52
20160630,20160816,20160816,0.021,4729364289.71,4658096005.42,,,139580125.26,92168693.75,178936898.57,435804420.07,1398289806.93,1912914672.19,,7715856011.53,837591680.99,432360474.46,92602522.48,20560580732.91,1041326015.47,7115895044.9,12491033319.95,2800288994.62
20160331,20160429,20160429,0.01,2381670475.84,2318471426.99,,,76528436.29,42651367.63,146008055.45,,1357705233.61,1963561269.66,,7958332118.56,823905178.26,380574937.68,92602522.48,20478984301.08,972014279.73,6407943094.21,12270959704.54,3202905242.29
20151231,20160408,20160408,0.01,8767428140.1,8795987818.14,,,60196098.96,126300672.27,162209041.95,712564754.98,1075146631.67,2017456056.03,,6924038397.25,814168646.46,334132038.55,92602522.48,19174426311.14,1094435966.13,6582699959.44,11009167992.74,2208645445.84
20150930,20151027,20151027,0.01,6707052217.24,6694920355.08,,,45479000.97,89281051.21,150173968.31,,1287037959.89,2068099269.74,,6753254891.5,788927410.29,117562737.09,102351241.37,18388591658.56,1155913981.69,5299914523.01,10237092496.72,2020249402.13
20150630,20150818,20150818,0.038,4510533117.85,4398529936.08,,,131423691.84,97641239.29,188116742.7,444540053.53,1401813915.19,1907086317.76,,6952293155.27,757733927.66,120392497.68,11789962.75,18081623978.31,1164325762.76,5973958059.75,9941074275.74,2335209250.02
20150331,20150421,20150421,0.01,2355724966.27,2290953546.11,,,74764828.62,41678036.99,102726952.62,,1571247716.04,1726800474.37,,6681626569.84,723752091.84,69424168.45,11789962.75,17444486297.57,928540682.87,5311858738.05,9138288783.37,2077625359.99
20141231,20150331,20150331,0.35,10096747862.23,9496932156.02,,,642247826.3,551970494.24,792875233.28,1221470931.29,1461507202.56,1674038942.22,,6913940363.67,727060637.07,60493571.68,11789962.75,17298303713.7,974033798.49,5439993581.82,9033647132.13,2458083471.3
20140930,20141028,20141028,0.27,7421335231.29,6936352066.26,,,494505096.8,435978947.31,641219400.76,,1698807491.22,1562913820.84,,7444678321.48,702574882.63,,11789962.75,17368920001.13,1082047375.63,6227720503.82,9189424969.77,3445020433.89
20140630,20140826,20140826,0.202,4772718581.45,4402630663.95,,,373701930.28,298616924.47,439825988.15,615518591.72,1324785948.77,1697667048.14,,5877686700.37,683786806.29,,11789962.75,15404513395.26,1069807570.68,6140790552.89,9311787881.61,2057560946.6
20140331,20140429,20140429,0.09,2307023332.38,2127054335.4,,,181377552.29,140948205.36,232958872.93,,1372945171.13,1522480761.08,,5817012744.21,674176217.06,,11789962.75,14591618597.84,904598666.31,5321940001.17,8493830354.55,2238550655.04
20131231,20140422,20140422,0.36,8604311583.6,8055368149.19,,,562899146.28,507521314.41,688145778.64,1035367099.56,1126089532.81,1541529894.36,,5648600578.48,661541619.06,,11789962.75,13972086610.93,924406169.43,5085912030.19,8013892377.92,2142938472.07
20130930,20131029,20131029,0.256,6380879063.72,5935148100.76,,,452460218.9,372720011.06,570207922.46,,1614305451.71,1479628061.62,,5286092249.67,612236718.98,,11789962.75,12801217818.79,1086337858.79,4326992673.76,7409194310.77,1378632414.53
20130630,20130827,20130827,0.191,4273262964.26,3950864542.51,,,326423378.68,259967061.07,364528265.63,533694663.67,1323209922.88,1407873860.45,,5087474057.11,632097732.02,,11789962.75,12206016526.66,1067686687.02,3841971093.85,6828771696.29,1672110335.57
20130331,20130424,20130424,0.089,2016331033.53,1855171296.05,,,162413662.53,117618203.06,219238437.66,,1493744526.53,1108014644.51,,4833446965.32,620254109.45,,11789962.75,11638865649.09,1033136600.41,3646973209.3,6316339337.44,1516968331.69
20121231,20130329,20130329,0.36,5801766062.23,5553286885.69,,,283926506.35,269052077.31,306537955.81,639728360.81,789184216.63,1060039202.56,,4240106430.83,535945124.25,,11789962.75,10569091655.62,630894641.24,2930404059.47,5371377850.9,1602799473.59
20120930,20121030,20121030,0.295,4398004339.91,4154562900.61,,,274791006.13,253750796.71,314694756.44,,925303720.53,946824644.59,,3639931600.55,521493378.31,,12009970.0,9682803007.36,758680089.98,2513137520.39,4934845556.51,1370068459.14
20120630,20120828,20120828,0.203,2897318418.08,2749989848.9,,,177977676.51,175854688.93,177625001.05,343526969.76,922983211.75,860632549.35,,3434436996.35,524984257.74,,12009970.0,9092532108.53,621191323.58,2188123644.82,4418854372.04,1320542249.75
