end_date,ann_date,f_ann_date,basic_eps,total_revenue,total_cogs,int_exp,oper_exp,operate_profit,n_income,ebit,ebitda,accounts_receiv,inventories,amor_exp,total_cur_assets,intan_assets,r_and_d,goodwill,total_assets,acct_payable,total_cur_liab,total_liab,c_cash_equ_end_period
20200331,20200430,20200430,0.163,43141448203.28,42114583179.3,,,1534244036.88,1343571373.88,1956811298.51,,14252544699.35,28742037151.73,,100804683489.37,10664351213.82,237033783.02,24098838768.79,188485492970.26,28488507041.2,94359881922.3,122205438528.94,35547253301.6
20191231,20200430,20200430,1.286,200761983256.57,193636736475.94,,,14449443890.04,12334392517.1,9735025579.73,14398315110.4,11015871060.09,28228600971.61,,100547144611.51,10687071783.07,193285777.1,23351729813.35,187454236283.17,33750567046.28,95609737445.91,122464376015.24,34962947399.85
20190930,20191031,20191031,1.221,148896109856.46,141614426897.28,,,12926841824.48,11267680902.53,9167106335.83,,13204139379.93,25080406390.86,,97353874821.27,10648632131.33,151144366.25,23572632908.06,184273943674.56,29705955855.01,92754287692.41,123340464509.52,34834111498.15
20190630,20190830,20190830,0.809,98979793121.16,93168188539.95,,,7110514514.88,6230985867.17,6763181089.03,8951439006.73,14414459806.74,23867526314.79,,98348213325.57,11317290593.27,663309436.0,23219540741.21,181141384287.4,30604644390.27,91483324330.14,123078367990.18,32947366592.36
20190331,20190430,20190430,0.335,48043265870.34,45590068619.86,,,3067227512.72,2666173718.73,3275942476.75,,,22906897890.56,,96530895338.36,11135182900.84,589670184.75,22532437320.02,177444803072.13,,87333269288.51,120284336649.6,35124772770.82
20181231,20190430,20190430,1.21,183316560236.03,174866506302.15,,,11390510993.06,9770599861.25,10588166873.29,13728056569.35,10431193487.5,22377191121.53,,94260331301.04,9209242721.71,538382288.33,21155552557.16,166699544243.79,27759119079.78,80081661150.42,111569265306.29,36044777414.04
20180930,20181031,20181031,1.005,138138774411.21,131146255979.08,,,8827902207.19,7830802647.09,8505838049.53,,17469720699.68,20868860503.22,,97042313776.83,8966361405.65,488831497.42,21197596096.81,167626386705.18,,85801838831.98,116161586557.86,33684884502.56
20180630,20180831,20180831,0.797,88591626626.07,82990516025.15,,,6735191996.93,5938417678.48,6258367256.94,7646247789.1,16906190691.77,22506295717.51,,92827750984.64,7880106466.16,431905938.29,19765740009.59,157465352921.46,28204519194.31,81681433677.41,106858183307.49,32185029539.59
20180331,20180426,20180426,0.325,42655164567.37,40388152695.05,,,2823430388.0,2468713503.67,3086962458.65,,15833303930.11,22850509586.29,,91495399802.94,6759264347.28,1007296297.14,19110949048.42,154529514068.17,29341571372.43,80390054769.92,105676276006.85,32749533354.91
20171231,20180426,20180426,1.136,159254466909.46,152156542051.8,,,10113122382.0,9051649184.04,9461412959.23,12237348191.48,12448004833.06,21503524800.18,,88332451429.22,7005186296.28,966051333.81,19843317357.3,151463110707.63,25654013649.96,76894450536.48,104713104570.27,34340013574.22
