end_date,ann_date,f_ann_date,basic_eps,total_revenue,total_cogs,int_exp,oper_exp,operate_profit,n_income,ebit,ebitda,accounts_receiv,inventories,amor_exp,total_cur_assets,intan_assets,r_and_d,goodwill,total_assets,acct_payable,total_cur_liab,total_liab,c_cash_equ_end_period
20200331,20200423,20200423,0.01,23582779938.17,23299413493.05,,,367946924.76,233962889.96,1469861399.84,,5420677146.28,23750196654.54,,68783646041.08,210543827.14,,87924.78,212967018891.72,26278431533.31,128372622660.93,153823786196.4,14864767174.61
20191231,20200423,20200423,0.2,121495415325.02,118146808318.93,,,3621165599.69,2873118509.51,7897120307.46,15421730666.49,4715440909.79,21717807193.06,,67840561944.6,213838491.61,,87924.78,211935681123.01,21904002065.57,130315809391.46,153099714910.05,11248045972.03
20190930,20191030,20191030,0.137,94293448239.99,91847128238.58,,,2647156160.75,2061092375.46,5605309217.9,,2953001663.27,21979230341.69,,65733987001.51,237559897.89,,87924.78,209754436205.85,25794833063.52,133589447238.67,151064282761.45,11557131771.35
20190630,20190827,20190827,0.089,62394053081.3,60692738823.46,,,1839824713.89,1393043138.06,3847620715.41,7543377815.56,3050923277.18,22901914120.94,,67517460799.92,240385859.04,,87924.78,211240254261.96,24302651812.47,135296306371.68,152933226148.31,13733685873.4
20190331,20190426,20190426,0.03,29336208329.68,28733965188.94,,,635172221.76,439754047.16,1728609043.36,,3225458454.26,22013947366.67,,64837470733.98,267400897.04,,87924.78,208164532086.07,,130507147917.28,148760270854.97,15708569084.7
20181231,20190426,20190426,0.32,120956993299.74,115841402584.44,,,5373575444.57,4381279591.77,9562643872.39,16238633394.46,4019247026.61,22248298199.06,,66066584437.06,228306395.54,,87924.78,208746341616.79,21716767403.64,128720539714.97,149794941347.72,17450564439.75
20180930,20181026,20181026,0.317,90607837651.64,85959831477.48,,,4843993540.67,3939528887.65,8128742808.29,,2340638181.1,25355334170.71,,67462380310.12,262211430.66,,87924.78,206281077006.1,,120041981703.83,147718416514.65,14339171020.01
20180630,20180830,20180830,0.172,56176316112.95,53613614785.67,,,2678753572.73,2180505417.93,4755803096.46,8056781690.79,2647613207.45,23929923858.05,,59123131700.74,265031169.73,,87924.78,197711803797.48,15570803845.85,117357129595.89,145918190644.95,12160355968.25
20180331,20180420,20180420,0.035,25033954833.34,24542279355.88,,,547220435.61,428788773.19,1594061778.57,,2935180085.8,24240884851.86,,54458871511.22,372002581.34,,87924.78,192252464841.51,19506824001.28,112105628688.61,144165665501.1,9039451170.89
20171231,20180420,20180420,0.17,108983075197.99,106040597834.42,,,3095504700.6,2125843391.33,7471808954.81,13173634714.06,2543231797.28,23146666900.35,,52233681767.37,370427786.86,,87924.78,190147934148.97,15841588148.58,113240573734.17,142488819020.45,8944403487.38
20170930,20171025,20171025,0.207,86905709430.58,83993432419.23,,,3021142816.21,2329772140.53,5758589694.16,,2323556014.17,26244913370.62,,54776184461.75,377920055.94,,87924.78,187784369086.76,17545188809.49,111125428791.26,139881877150.16,10466835813.25
20170630,20170830,20170830,0.118,54459940529.52,52842066959.34,,,1697331803.94,1293163004.98,3489440100.06,6482273251.95,2066233653.1,28074003721.93,,54828538216.88,387021792.86,,87924.78,187955350431.98,19788376542.45,113261203569.05,140836204227.25,7007376934.13
20170331,20170428,20170428,0.061,28320383467.54,27527137193.43,,,835281903.77,673688626.04,1752357683.12,,2187976269.41,30026689907.86,,55551007305.2,391416534.66,,87924.78,187839056855.1,18701133056.57,112792860750.8,140488239689.93,8964426001.11
20161231,20170428,20170428,0.15,74551007517.85,73160915278.37,,,1579715571.34,1429754080.09,5619801202.26,10490757256.64,2117810708.69,29779683874.65,,54790794444.81,392403957.17,,87924.78,185989924182.05,17907506567.12,113427063645.96,139359523498.17,7442163936.95
20160930,20161027,20161027,0.0879,59111942960.8,58146246310.28,,,1003264086.75,857720751.66,,,2126316409.53,25864337776.51,,53461776483.82,383589411.35,,87924.78,178543442602.96,18789814968.4,111890703762.18,132365049904.98,11683592611.36
20160630,20160831,20160831,0.039,37911158117.94,37493631211.71,,,432045985.99,371233267.03,2273607627.85,4596681816.26,2066755717.74,23591896688.04,,50721577146.73,387065080.47,,87924.78,176149495329.61,21589520921.67,119773671321.67,130457483876.71,9251211915.13
20160331,20160429,20160429,0.011,17830039768.75,17751905017.68,,,95246067.65,70468864.52,967999828.77,,2093366588.07,23239762471.49,,47847842692.82,393066701.17,,87924.78,172577825546.69,18770409366.08,118043702803.72,126865353264.11,4526157363.13
20151231,20160429,20160429,0.05,73103434380.22,72655304679.52,,,539326860.47,401751758.39,4939979363.9,9272639734.0,2111771268.72,26883645706.26,,54600625074.3,391144124.81,,87924.78,178811548952.26,21270338112.17,125880644956.32,133215220073.63,9658900701.77
20150930,20151029,20151029,0.048,61193163973.31,60798149675.88,,,499550904.83,392172792.22,3488054357.97,,2045891775.17,25453189375.34,,53013539180.22,388302640.3,,87924.78,169577286675.21,18002848844.98,109538908809.52,123995367790.3,11039631107.27
20150630,20150826,20150826,0.034,42431427259.2,42140097618.15,,,376368630.76,301464458.56,2293541772.91,4421470502.69,1995656186.83,26670000074.28,,55363789867.51,400159017.99,,87924.78,171640138270.35,20946227515.3,112603341594.32,126088742135.37,10442895313.25
20150331,20150428,20150428,0.018,21957871780.71,21816625943.48,,,160077913.42,160989060.23,1192857897.86,,2137509961.25,27893912083.53,,58206960609.22,390912491.44,,87924.78,173532215491.78,23112390527.48,113501630592.65,128152271346.42,10533709550.98
20141231,20150428,20150428,0.066,98257447070.35,97653683290.82,,,898858883.66,717290973.6,4469838610.65,8138556491.83,1821530501.75,29269360708.46,,56078027775.78,363700641.43,,87924.78,170368205305.32,22274465798.22,110252231948.44,125118962259.34,9314822794.91
20140930,20141025,20141025,0.047,75655341828.31,75225772461.83,,,658816550.38,526156600.78,3097215251.41,,934790043.97,25851165730.35,,50319390481.02,379042854.7,,87924.78,162238836242.18,16182623508.91,101577165463.53,117146600319.74,7538598283.39
20140630,20140827,20140827,0.031,50676151524.85,50448176545.1,,,410056906.01,357137828.08,1988244347.48,3837399044.87,1064949206.02,26286891994.28,,52802144226.88,392213828.23,,87924.78,163594546789.81,16784693341.83,103596501603.79,118602892240.05,9608972066.99
20140331,20140429,20140429,0.015,25804158092.49,25641388085.5,,,224201243.75,178818229.96,931832085.6,,1147711421.07,27101435564.39,,55116049453.05,391195542.71,,87924.78,163995729514.29,16097851969.74,104558033466.61,118986281266.96,8714359415.2
20131231,20140429,20140429,0.01,110254992165.5,110419900163.94,,,150622001.96,137128173.73,3119622064.38,9175299219.25,726960367.75,29819643595.76,,59482133852.01,386289897.93,,87924.78,166898041161.44,23568450185.31,107691604648.6,122107275751.33,9050093690.86
20130930,20131031,20131031,0.011,82741530589.2,82741622294.65,,,199831294.09,129400552.15,2588777147.57,,1135384325.84,28434906235.13,,54960614642.41,396248474.95,,87924.78,158169652336.27,16598513325.34,102057617882.27,113545374415.43,7936402711.58
20130630,20130829,20130829,0.007,54809521861.66,54828790198.78,,,111552599.22,70992658.8,1726125343.84,4530286949.53,698065245.11,25416113985.35,,49472680273.93,397199875.28,,87924.78,152751362640.74,16910638563.97,97699539897.18,108164895762.0,6153499554.14
20130331,20130427,20130427,0.004,26861433518.67,26815404124.03,,,55875381.92,32931510.38,813453610.04,,1736202547.64,24882253916.95,,53516009872.8,351649683.29,52329599.24,87924.78,155878420491.03,14463755163.08,98966090343.66,111253287580.13,12210932340.28
20121231,20130427,20130427,0.01,111629795720.03,111646502604.26,,,205556215.72,138908944.61,2752064587.38,7993857365.23,1092198997.72,23902798887.52,,52918583677.49,350214021.77,41371255.04,87924.78,154784047583.67,19424993870.15,104982502077.38,110213590346.85,7524699962.7
20120930,20121024,20121024,0.03,86658700984.28,86262695217.95,,,566314290.57,375501577.2,2440930495.64,,620344839.65,25475269050.44,,47313034771.37,346908725.9,,87924.78,143640824048.87,10824752107.55,84661726005.12,98820417113.25,6398907562.78
20120630,20120831,20120831,0.04,59687562328.78,59324218749.26,,,530211811.71,400129168.61,1645217035.68,4430191900.55,1047573189.64,22657519657.8,,49119639350.02,335336883.02,,87924.78,143250066236.8,11841399618.71,85214853573.34,98396877618.05,8889122306.89
20120331,20120427,20120427,0.034,29144221367.67,28695308140.51,,,449024606.07,354733851.11,996106419.75,,1460917669.76,22544935679.14,,50643608005.32,311651915.87,,87924.78,143784439336.79,13789204173.04,86005381516.99,98631063858.81,8811665069.84
20111231,20120427,20120427,0.13,133343727102.65,131946426777.36,,,1735178665.14,1452653238.72,3874976491.87,9313851365.6,1009395723.45,22408187137.37,,48987777622.38,341417470.46,,87924.78,141040691772.7,12239117105.82,81101720222.45,96263507712.78,8989882841.07
20110930,20111028,20111028,0.15,104823078849.39,103824838690.1,,,1315157676.82,1044269053.16,2686219623.12,,621496153.42,21908154573.68,,44411543468.78,347639496.16,8828182.01,87924.78,105693076360.32,12009415035.24,61818044238.78,73718681358.85,4610964083.16
20110630,20110829,20110829,0.12,68594285326.69,67773340928.44,,,1041613518.54,856268503.36,1988815936.57,4166087206.19,558147607.0,22376250693.69,,46883572640.71,354711136.18,8725617.89,87924.78,106440424780.13,14866308687.01,60663125447.02,74636594387.33,4755180777.2
20110331,20110427,20110427,0.06,32271961239.87,31755001870.26,,,535903792.08,412373180.14,1170950253.01,,1243434323.17,24689687817.15,,47405282642.29,345384120.56,8725617.89,87924.78,106573235206.42,15561809255.81,60334300737.61,75199658335.09,8265570551.87
20101231,20110427,20110427,0.21,116919019782.12,115609226737.29,,,1638654287.92,1484293427.9,3073771449.0,7118853580.45,395762879.83,22406011298.01,,45883818930.59,347907972.34,7186586.29,87924.78,104938227517.51,13414070267.28,58188463524.67,73961016465.98,4895586418.94
20100930,20101030,20101030,0.15,88375640108.14,87240789880.02,,,1286189881.21,1060898884.41,2377021146.66,,695053291.55,20695339694.9,,46337247797.04,320000477.75,7186586.29,87924.78,103765765722.48,13464477008.77,55479038861.22,73239259291.41,6825787239.79
20100630,20100827,20100827,0.1,58685351512.39,57948804031.92,,,864637672.63,732499976.65,1601942300.41,3619035888.28,324416714.6,21794134713.22,,45702846024.84,302839723.33,7186586.29,87924.78,102422578569.64,13701736968.5,55397912629.16,72270168177.81,7673636672.43
20100331,20100426,20100426,0.06,27642512196.22,27096223625.37,,,555897318.41,414250695.28,955665538.13,,290480527.28,18886945620.22,,46824496013.14,317680484.31,7116586.29,87924.78,103091609464.89,14616361508.95,56186952674.21,72555234793.85,9991524322.51
20091231,20100426,20100426,0.14,87185946766.63,86205427635.75,,,1169645265.44,1004271975.76,2160553735.83,5409152697.8,301479325.61,19039140997.58,,47151609406.58,316680380.17,7116586.29,87924.78,102733670782.61,12857746884.19,57790666402.87,72649470928.3,11156786132.22
20090930,20091031,20091031,0.09,27579669394.67,27218584757.5,,,404576091.01,334661319.57,901952114.83,,270574521.65,5617408209.61,,21768759338.91,245255283.43,,,42694745522.04,5689073667.07,23153551967.5,29240601494.5,6144357942.55
20090630,20090808,20090808,0.03,18368006145.21,18287390771.38,,,111471953.42,80320730.1,477071646.71,1375009168.47,417610438.81,6744599809.26,,21314357665.66,235409993.21,,,41150715699.64,4332556467.78,22336014956.32,27984416947.32,5418580722.43
20090331,20090430,20090430,0.02,10024398436.92,9950851061.62,,,85160926.82,76333162.94,219200058.6,,449495326.33,7785466884.33,,21780049202.77,198130077.84,,,41092470009.45,4214130569.95,22325288325.98,27995376523.98,6217502760.16
20081231,20090327,20090327,0.48,57697320331.96,55449767829.03,,,2416100436.38,2062941029.95,2970607781.03,4624366596.93,626391404.0,7664252623.85,,22527309599.85,200633883.61,,,41519328378.29,4735161423.53,22831772608.63,28495861984.63,5873504930.91
20080930,20081030,20081030,0.62,47249767242.38,44053172478.64,,,3207880721.07,2606366079.98,3705264809.01,,462918135.17,10536733884.64,,24947185439.47,1129757901.56,0.0,0.0,44321701776.75,5597190173.06,26184224585.97,30747074053.05,6727828327.14
20080630,20080828,20080828,0.75,30514470839.88,28116357106.93,,,2405415432.95,1913147218.96,2741495596.71,3541359272.74,125736879.88,8079824281.71,,22631303783.36,1165885928.82,0.0,0.0,41679487146.33,4331501547.23,23089347959.25,28716657908.18,7532744357.92
20080331,20080429,20080429,0.32,13786646676.97,12775180974.47,,,1011465702.5,783994922.74,1131491154.98,,186586801.08,7133681835.15,,20579713697.96,245003413.92,,,38320189601.27,3191439484.31,19151057468.36,25531451352.79,5761627483.74
20071231,20080418,20080418,0.95,41792335168.68,38732625658.21,,,3051498248.71,2426050910.7,3522883791.43,5234137455.65,58137641.54,6934557899.69,,17990137812.65,236338672.36,,,35613832018.63,2445439993.67,17392385947.65,23621767407.76,5065174228.26
20070930,20071031,20071031,0.75,30320000695.1,27862898823.07,,,2458165943.09,1922726335.27,2777229759.52,,135649329.9,4699096073.94,,14140226970.21,245549448.08,,,31747449206.36,2139645993.51,16597367253.36,20728126162.43,3359293082.05
20070630,20070810,20070810,0.51,19513615960.86,17831716467.33,,,1682842898.2,1288869993.36,1908214304.33,2628300079.61,75509577.75,4214245267.74,,12809033223.2,251279879.88,,,28977963278.28,2351076608.26,14291213601.26,18601272033.94,2743638884.82
20070331,20070428,20070428,0.21,9569374157.05,8840300316.69,,,729641019.14,519148854.65,857739737.36,,54283732.93,3527833581.06,,13330489050.79,243938034.68,,,29106915176.84,3028357540.15,14645632161.59,18814632161.59,4440288203.37
20061231,20080418,20070330,0.63,30185431863.63,28210170374.46,,,1985673661.34,1409425711.11,2320624964.53,3628612616.46,81902984.08,3870091865.79,,13695202725.72,223841974.39,,,28831021842.06,2622630639.83,14814711693.81,19094711693.81,5459077344.46
20060930,20071031,20061030,0.51,22158480619.22,20442737480.34,,,1725310393.73,1140762525.24,,,137483893.76,3049952767.29,18766439.31,12686917371.99,205687079.45,,,27587918618.13,2372998998.9,13482197375.89,18382697375.89,5241322935.74
20060630,20070810,20060829,0.31,13988559588.78,12958051566.91,,,1038723287.42,672717926.86,1211927226.27,1729527507.74,200344763.86,2750735620.67,27815772.33,12254016568.85,198651355.87,,,26663050820.79,2494180753.53,12967916902.23,17917916902.23,4311908926.4
20060331,20070428,20060419,0.05,6200313202.36,6039352889.24,,,165827835.34,104602740.44,,,77127665.84,2943901135.06,38973870.1,11357477732.93,193998455.08,,,25075841839.82,1786614774.43,10663697562.85,16133697562.85,4019479989.76
20051231,20060309,20060309,,24316608438.5,22700253180.54,,,1660279076.55,1107861319.08,1926045482.58,2900193708.19,76799920.3,2780293117.92,,11450790171.76,193998455.08,,,24531271456.81,1796226491.26,10650629920.28,15693729920.28,
20050930,20051028,20051028,,18574162582.28,17216724489.18,,,1360582259.37,848866253.09,,,121072221.12,2788377769.57,14622699.8,11138626434.88,,,,23185731188.62,1888598207.09,9162333100.5,14832433100.5,
20050630,20050823,20050823,,12452646213.43,11420887208.19,,,1029874667.74,646371848.6,1185368679.23,1683611089.28,34875307.12,2529534078.47,36054379.87,10786961720.98,,,,21763596983.01,1953219051.85,8690693299.38,13612793299.38,
20050331,20050419,20050419,,6207359055.96,5678189235.99,,,531206386.57,354771158.34,,,35004662.74,2135646189.26,58319378.69,10403494742.49,,,,19698694544.67,1658530242.65,6664855545.32,11066955545.32,
20041231,20050322,20050322,,21883970362.04,19868601187.6,,,2051689161.05,1325475127.69,2272956497.94,3261219090.19,38617924.59,2207174032.42,,10302941581.11,,,,19104704878.48,1235372245.71,6375637037.47,10827737037.47,
20040930,20041026,20041026,,15358684998.57,14114179464.41,,,1277065649.53,861875620.91,,,39323778.35,1881203585.44,16032988.0,9688045745.55,,,,18381712543.89,1150948874.94,6917308131.4,10570794497.1,
20040630,20040803,20040803,,9636779023.72,8913718069.15,,,751632432.13,508937755.9,828931327.31,1227898719.48,33620534.92,1732567466.04,30247081.57,9588100484.68,,,,18273928773.92,1148530739.75,6412944345.42,10815960461.12,
20040331,20040423,20040423,,5064196993.26,4599080769.94,,,481158229.02,300535538.44,,,39284178.95,1876740136.35,34272521.0,8778246644.22,,,,17175216260.23,1053781092.06,6371807588.39,9241407588.39,
20031231,20040323,20040323,,14167100155.16,12924915748.9,,,1272588906.28,884483218.89,1386286944.93,2181981453.83,41829853.58,1617788095.66,,7290483080.68,,,,15507411332.93,1087967023.38,5405538199.53,7874138199.53,
