end_date,ann_date,f_ann_date,basic_eps,total_revenue,total_cogs,int_exp,oper_exp,operate_profit,n_income,ebit,ebitda,accounts_receiv,inventories,amor_exp,total_cur_assets,intan_assets,r_and_d,goodwill,total_assets,acct_payable,total_cur_liab,total_liab,c_cash_equ_end_period
20200331,20200424,20200424,0.1689,413180785.78,314194852.8,,,99222017.04,84615739.09,219471766.13,,163103712.83,121380.56,,578967361.88,36861456.43,,,15396240832.55,279432141.13,2747592402.59,10301492362.2,142766342.91
20191231,20200327,20200327,0.9503,2174381798.13,1658552799.91,,,532559587.35,446443809.55,1044807963.58,1745751117.19,52053423.53,121380.56,,543510221.36,38258790.8,,,15490849168.99,291170738.74,2915592074.48,10480716437.73,162944686.03
20190930,20191025,20191025,0.9357,1731326730.88,1203360428.71,,,535921982.87,459043341.77,914728798.59,,260954072.9,77611.5,,1092846119.67,32829878.66,,,16131716834.83,271097782.99,3133801700.27,11051778926.11,268541864.54
20190630,20190823,20190823,0.3074,844303485.12,685975564.14,,,166145823.9,141902866.0,423185555.68,726660450.91,307064526.32,506982.5,,668489985.98,33737849.11,,,15971001507.69,291784938.89,2490977132.45,11208846103.26,132741975.32
20190331,20190429,20190429,0.0224,314179523.52,297931015.51,,,19038633.15,11921618.08,147166076.33,,84856243.14,506982.5,,801097012.31,34835274.16,,,16274205392.18,,2687206906.23,11489499050.96,298570621.43
20181231,20190328,20190328,1.2043,2388665024.61,1801959831.06,,,665533552.63,550684594.39,1144322244.66,1921777671.28,86192692.61,506982.5,,1138055196.95,36057166.98,,,16709659063.52,369395704.71,3232262976.9,11942603589.42,324749144.24
20180930,20181024,20181024,0.9587,1813423406.97,1268892660.7,,,560648994.03,472803375.44,963107335.29,,181319158.1,564590.0,,1052994115.35,39028633.78,,,16772496105.57,,2630561344.8,12026050650.42,239316215.44
20180630,20180822,20180822,0.4585,1073040749.41,807902051.2,,,277618057.08,231283404.37,550233736.6,905554970.45,399426078.9,903720.0,,960290522.75,39806964.59,,,16905584887.13,447965028.21,3174380866.54,12400659403.05,191230757.7
20180331,20180424,20180424,0.0651,387832276.46,340770510.1,,,59472236.34,47075711.69,198128651.17,,161337500.44,903720.0,,828154167.13,40966774.71,,,16991975138.43,488061260.73,2211183625.24,12508072796.22,335164721.1
20171231,20180329,20180329,1.049,2419414720.06,1816282355.92,,,620731836.27,543441539.71,1187854688.47,1987367031.73,110498361.76,903720.0,,881627569.24,42126584.98,,,17133952893.94,502383859.29,2265618203.55,12697126263.42,135976452.38
20170930,20171026,20171026,1.1298,2051487215.18,1406307955.79,,,647969259.39,581121246.94,1097811785.6,,443926480.81,972610.02,,1365920119.68,39140580.17,,,17551518499.85,372041877.69,1354040292.86,13005423162.1,251612699.41
20170630,20170825,20170825,0.1543,799000192.49,714266047.41,,,84734145.08,73009623.01,372314976.68,649170907.68,278959447.64,972610.0,,759732051.34,40201673.75,,,17320629690.58,378016032.77,1289574972.27,13282645976.76,189565841.57
20170331,20170424,20170424,-0.0127,311213383.21,314039684.37,,,-2826301.16,-4570128.97,147365904.33,,196787683.55,1277250.0,,704496782.74,41262767.2,,,17397051462.11,395865328.77,1145884497.18,13230485501.67,229661013.12
20161231,20170329,20170329,0.4244,1918108123.51,1669837978.6,,,250850144.91,239638859.07,877871070.56,1546048618.98,38723319.65,1277250.0,,702940073.41,42323860.82,,,17486274730.47,430267385.84,1171987636.57,13315138641.06,258480128.71
20160930,20161025,20161025,0.6327,1681162171.27,1317792944.29,,,365949226.98,339256721.49,,,48571264.6,1232135.85,,837831177.7,37970520.07,,,17545162452.03,405358770.02,888577942.68,13277283500.2,282209794.27
20160630,20160820,20160820,0.3356,1065090212.22,862254187.57,,,202836024.65,188253209.28,544698408.07,897117587.08,348400782.98,1243734.92,,760883873.8,38776611.35,,,17635559422.47,410110870.59,1044083325.29,13518683982.85,144634416.42
20160331,20160426,20160426,0.1911,564140057.08,432327322.58,,,131812734.5,117013109.14,309100882.11,,280846370.83,1281940.0,,1312206583.09,39701098.68,,,18295502940.4,407351722.77,1650220270.36,13882401269.92,496630516.21
