end_date,ann_date,f_ann_date,basic_eps,total_revenue,total_cogs,int_exp,oper_exp,operate_profit,n_income,ebit,ebitda,accounts_receiv,inventories,amor_exp,total_cur_assets,intan_assets,r_and_d,goodwill,total_assets,acct_payable,total_cur_liab,total_liab,c_cash_equ_end_period
20200331,20200424,20200424,0.0135,37010326.04,34676635.43,,,4415232.36,4077440.59,6064010.09,,161657993.47,207922779.63,,676361221.5,158438177.84,248302470.13,2336637.5,1693988295.61,69638576.16,120473062.01,243483454.5,144091927.96
20191231,20200424,20200424,0.23,342509091.74,295679247.67,,,65995848.5,56910722.75,52913565.67,118500764.47,163061684.97,182225614.32,,692784743.07,164035465.27,234331940.18,2336637.5,1711135104.86,80372420.28,139222796.37,263320169.17,226033101.48
20190930,20191025,20191025,0.1106,180040573.49,162939166.82,,,27339555.46,23991067.05,22715496.1,,169592443.45,185140702.31,,637003473.72,134209211.58,242192273.63,2336637.5,1631371142.8,85115046.22,140695275.03,228505182.7,180790461.26
20190630,20190823,20190823,0.0487,107740599.05,99831813.99,,,12608298.15,9917930.55,11558535.75,39779850.77,142469318.03,179760165.52,,616814398.08,139353315.66,222893842.15,2336637.5,1601063898.63,74204487.64,122012894.51,214309607.58,197763760.8
20190331,20190424,20190424,0.0185,43470115.95,41407898.32,,,3734738.0,3183665.19,-664569.74,,145984161.64,156325570.57,,672725617.24,144266755.54,212931306.29,2336637.5,1616916770.44,,119990142.27,211865071.98,265072549.76
20181231,20190322,20190322,0.24,339799067.26,314168571.17,,,58639960.54,54234279.04,36301324.59,91315515.14,136784303.54,150425572.37,,655496150.79,149909840.52,203109589.35,2336637.5,1604271576.72,65031885.65,115487402.02,204352002.06,287606929.25
20180930,20181025,20181025,0.1387,189719091.93,177892110.59,,,32454623.27,29972945.4,10487612.83,,158583510.39,159735611.38,,601196585.72,118630212.96,205348377.41,2336637.5,1520904166.89,,93633232.53,154967707.63,175714774.2
20180630,20180821,20180821,0.0897,91966679.49,85694857.57,,,20938433.15,19157650.86,7572926.13,34026777.34,145158763.76,143128594.24,,582877853.57,123386845.37,192627790.75,2336637.5,1492350382.48,43171459.06,79727899.95,139356917.76,198121109.62
20180331,20180425,20180425,0.0319,38764945.14,36490640.99,,,6991598.08,6343070.21,48533.37,,132691587.62,124158390.65,,613824633.79,128891597.25,176194813.37,2336637.5,1515649245.77,50737731.6,91581485.17,151706552.31,247432759.78
20171231,20180323,20180323,0.2,266548057.67,231410247.79,,,54212206.24,48925925.82,47352066.13,99583127.33,145037465.83,119216257.7,,627438969.4,133767840.96,165017870.84,2336637.5,1527881504.77,57671081.13,110975916.61,172409581.52,261555401.05
