end_date,ann_date,f_ann_date,basic_eps,total_revenue,total_cogs,int_exp,oper_exp,operate_profit,n_income,ebit,ebitda,accounts_receiv,inventories,amor_exp,total_cur_assets,intan_assets,r_and_d,goodwill,total_assets,acct_payable,total_cur_liab,total_liab,c_cash_equ_end_period,basic_eps_Z,total_revenue/total_cogs,total_revenue/operate_profit,total_revenue/n_income,total_revenue/ebit,total_revenue/accounts_receiv,total_revenue/inventories,total_revenue/total_cur_assets,total_revenue/intan_assets,total_revenue/total_assets,total_revenue/acct_payable,total_revenue/total_cur_liab,total_revenue/total_liab,total_revenue/c_cash_equ_end_period,total_cogs/operate_profit,total_cogs/n_income,total_cogs/ebit,total_cogs/accounts_receiv,total_cogs/inventories,total_cogs/total_cur_assets,total_cogs/intan_assets,total_cogs/total_assets,total_cogs/acct_payable,total_cogs/total_cur_liab,total_cogs/total_liab,total_cogs/c_cash_equ_end_period,operate_profit/n_income,operate_profit/ebit,operate_profit/accounts_receiv,operate_profit/inventories,operate_profit/total_cur_assets,operate_profit/intan_assets,operate_profit/total_assets,operate_profit/acct_payable,operate_profit/total_cur_liab,operate_profit/total_liab,operate_profit/c_cash_equ_end_period,n_income/ebit,n_income/accounts_receiv,n_income/inventories,n_income/total_cur_assets,n_income/intan_assets,n_income/total_assets,n_income/acct_payable,n_income/total_cur_liab,n_income/total_liab,n_income/c_cash_equ_end_period,ebit/accounts_receiv,ebit/inventories,ebit/total_cur_assets,ebit/intan_assets,ebit/total_assets,ebit/acct_payable,ebit/total_cur_liab,ebit/total_liab,ebit/c_cash_equ_end_period,accounts_receiv/inventories,accounts_receiv/total_cur_assets,accounts_receiv/intan_assets,accounts_receiv/total_assets,accounts_receiv/acct_payable,accounts_receiv/total_cur_liab,accounts_receiv/total_liab,accounts_receiv/c_cash_equ_end_period,inventories/total_cur_assets,inventories/intan_assets,inventories/total_assets,inventories/acct_payable,inventories/total_cur_liab,inventories/total_liab,inventories/c_cash_equ_end_period,total_cur_assets/intan_assets,total_cur_assets/total_assets,total_cur_assets/acct_payable,total_cur_assets/total_cur_liab,total_cur_assets/total_liab,total_cur_assets/c_cash_equ_end_period,intan_assets/total_assets,intan_assets/acct_payable,intan_assets/total_cur_liab,intan_assets/total_liab,intan_assets/c_cash_equ_end_period,total_assets/acct_payable,total_assets/total_cur_liab,total_assets/total_liab,total_assets/c_cash_equ_end_period,acct_payable/total_cur_liab,acct_payable/total_liab,acct_payable/c_cash_equ_end_period,total_cur_liab/total_liab,total_cur_liab/c_cash_equ_end_period,total_liab/c_cash_equ_end_period
20200331,20200423,20200423,0.045,73823878391.0,69499274924.0,,,3924293709.0,3163474714.0,6382312546.0,,27889472762.0,2318988186.0,,96831649418.0,25083470042.0,590918831.0,,565118013153.0,103461742359.0,206293946554.0,239340032211.0,34492711510.0,0.045,-0.04782680510829663,0.001561614875323799,-0.046688698311887,0.06001054977073369,-0.05779870744303995,0.32069565242178016,2.1006028533969476,-0.05668746029552492,0.14645433740358793,-0.29043145025512357,-0.06784528943280638,0.0593612556200152,0.1436493129797239,-0.0018758690907610745,-0.046863655405212624,0.05654322299833331,-0.05348310474627478,0.3077054418368078,1.8527890317577136,-0.054960131609748115,0.11054086808590952,-0.3177205941622817,-0.08584562404305147,0.047615449222092314,0.11300500636908684,-0.036573904281525814,-0.001651365401297125,0.0380964223130004,0.38590333147100875,0.39420480393498253,0.03406013936140664,0.10390465607281583,-0.08816524584421247,-0.07123357520280035,-0.040090167186628486,0.20457963883421917,-0.000712127750120611,0.04011788788611792,0.2653670664978477,0.36363819350679716,0.03584755500704246,0.13771298839972226,-0.08085571584458948,-0.04470001427223666,-0.018347652308545615,0.19508914526407364,0.03876965103673689,0.2932034729698717,0.8915013193746365,-0.05910060870618342,0.33785589067830507,-0.10341398839315294,0.06963020408522154,0.1079439058629745,0.2168697298594392,0.5196225113687467,0.844056566802013,-0.045696173974310465,-0.3904328607069526,-0.416574792757154,-0.4643371447351234,-0.38713142474829565,-0.09478607039615924,-1.1742313625270788,-0.0727455513199942,-0.9195681928670845,-0.47005041796718366,-0.8208495596626764,-0.8446651848638311,-0.3747813650232868,-0.07546280262832529,-1.5488176336661006,-0.34336201952023454,-0.5909679035623213,-0.6703637953423065,-0.18378572682723912,-0.04627464620633181,-0.2088568464676915,-0.18015671962874089,-0.09032539744942625,-0.029705630704085453,-0.19711878512837266,-0.27578980658066493,-0.15731195545469942,-0.028769373946580707,1.5683074308251026,1.6112042633761683,0.8188392378286743,0.49999912846429123,-0.05122050329381054,-0.13073792031841155
20191231,20200324,20200324,0.161,290514554553.0,277991433186.0,,,13443155791.0,11264124299.0,17326567051.0,87669363913.0,20456916625.0,2359148173.0,,83603850121.0,25746168495.0,678243878.0,,564230618712.0,102767088275.0,206812709395.0,240734699805.0,34949785991.0,0.161,-0.2126028840064512,-0.017743161260709427,-0.11118826496892702,0.045133836431913994,-0.07307254421757754,0.10241582373056392,1.6605676002861827,-0.049419212273991577,-0.1636930796357624,-0.30063026171913243,-0.32063387353653183,-0.20798885882063609,0.029946397678335703,-0.02128401752265514,-0.11835650604870335,0.04408635840145856,-0.07065639667640813,0.1148005564074906,1.5401162721320194,-0.05434162190527675,-0.15968864866799706,-0.3252946454682607,-0.30354963279449715,-0.19138327803853067,0.02169134095305606,-0.033592434337449587,-0.04396181343185932,-0.12240723480169603,-0.048044244122875335,0.16214596928777414,-0.045479592160075084,-0.23858779029643068,-0.14768861803559655,-0.37680008714481456,-0.30587761339833336,-0.022060991435697664,-0.04066654658123341,-0.1546895770943439,-0.04519230994327665,0.16590453605811545,-0.04551497507172879,-0.1818470967744124,-0.15005140647516058,-0.3497645748832272,-0.283141970485235,0.0059258814469911845,-0.13336759067410847,-0.030105523816918625,0.31135320145694256,-0.04626803979800412,-0.2679836429535545,-0.12030041544027814,-0.29725071780572826,-0.23585096420835927,-0.08683143221066354,0.27143612827611135,0.5318157937513011,-0.046083691606584515,-0.5017629404609673,-0.44747212578804824,-0.5703231461369789,-0.4999428678945392,-0.13252450500741159,-1.147802101081118,-0.0783450326630543,-0.9143779501510785,-0.4546732262232766,-0.8139057561826075,-0.8465837279672462,-0.448741010960553,-0.07476864177624591,-1.6189856604079447,-0.3186145678378445,-0.6461810550889195,-0.7180414425868994,-0.3622234090854753,-0.03490576841382871,-0.15897962476579666,-0.17677086668291747,-0.08505333671475354,-0.014370281422630415,-0.20470498962772643,-0.24710274989836564,-0.13190224847912949,0.03657693784077998,1.4751179854218244,1.5167156047939017,1.1276975664680493,0.4762875035476025,0.02417547116130997,-0.12026928656412594
20190930,20191022,20191022,0.139,217120523302.0,207527443202.0,,,11833407990.0,9750742070.0,13912241946.0,,25765992932.0,2844516813.0,,87449110051.0,25462391995.0,302930804.0,,570574852593.0,106985162816.0,214383107654.0,248075283068.0,29461065063.0,0.139,-0.2795617288986482,-0.04115897787013866,-0.002011842770179798,0.04362044132775849,-0.1698140372016486,0.07562536630809599,1.6393156587076188,-0.05034848343524278,-0.14390541905132484,-0.42487693346840755,-0.310387941238619,-0.20588670428982503,-0.02189284718095204,-0.04085775484174408,0.0023774082320935684,0.043936940341038754,-0.16989022789310249,0.10577150127300028,1.6290044377705288,-0.05733088102375039,-0.12581677464978863,-0.5054470233299937,-0.28115478352940243,-0.17921320243396044,-0.01926801787128777,-0.01510756700719999,-0.04104543440720032,-0.17725055880260165,-0.04749997183433991,0.27541240668146993,-0.0454133123603951,-0.3332914797020134,-0.2031121029876003,-0.4018724563625789,-0.3228430118065277,-0.0578010629808832,-0.03626926426915817,-0.1745087658291204,-0.048391193250730755,0.25548692488049823,-0.045498853490288656,-0.313925710026136,-0.20515794881949487,-0.3953540139570573,-0.3195378968953935,-0.05548478354194969,-0.15235282983237833,-0.03867662181756798,0.40287216284102556,-0.04573522735704687,-0.2810341852953649,-0.16094948434989348,-0.3080243738839771,-0.24714853289999594,-0.06335377492464095,0.0662547047264838,0.7525606035869841,-0.04577188798429871,-0.474094362925678,-0.461003855201775,-0.539070238309354,-0.47167298827658855,-0.08293095437849671,-1.1540534347190927,-0.09461910946363425,-0.9310148116797442,-0.33052060352017054,-0.7888254115482304,-0.8169590102688412,-0.4326406507969474,-0.08130837415750065,-1.6422079687638582,-0.3783249104678511,-0.657450913474743,-0.7524246073033722,-0.103155670110394,-0.04338250282805756,-0.13823930142725224,-0.1798512194357546,-0.10304539777397406,0.013129956323547323,-0.26239470522737934,-0.2859944154586182,-0.16956790539883632,-0.017481904865561514,1.4645635736664242,1.505653511792576,1.0112289601174274,0.5187584629840335,-0.02516243715346855,-0.06612345717015905
20190630,20190815,20190815,0.09699999999999999,144953716109.0,137964730323.0,,,8342539260.0,6815958116.0,9757883272.0,50534970277.0,25204892800.0,2278416077.0,,81340213614.0,25521671983.0,358589112.0,,566546628977.0,104073396608.0,212909765010.0,247085739103.0,27560128390.0,0.09699999999999999,-0.24945320813425953,-0.019782229686958697,-0.06355504432807377,0.04978807964379472,-0.08597613900951954,0.12259522836834223,1.9873767638681568,-0.04985056606261527,-0.1262277588167864,-0.38569838734380035,-0.2909318999833224,-0.19395280637542028,0.0357763984847537,-0.022873019261188985,-0.06572913882631053,0.04965737187326443,-0.07754329182445693,0.16013339941858734,1.9699212006790694,-0.056303340605562045,-0.11034763199198541,-0.4446884758878524,-0.26392286585232116,-0.1702515039366257,0.050630087353583014,-0.0468137242373173,0.041031314607341496,0.02700809499740961,-0.038903588775819446,0.4068660940196998,-0.045129060198229244,-0.3299562957117749,-0.19270618500347633,-0.40072761481446845,-0.326121389232789,-0.04803480062961765,0.03886137137425033,0.0311693809693306,-0.039481842375319105,0.38753466289735167,-0.04519479186193158,-0.31725242475759086,-0.1913763701352164,-0.392608499685773,-0.3229037316750852,-0.046924242372169744,0.03096502928687795,-0.025771595154741547,0.580639460599612,-0.04507466224068299,-0.24658510971381206,-0.15191595675006533,-0.29426680452616866,-0.22888855018990514,-0.049943525248425956,0.09430187558324599,0.8647461344515215,-0.04582604970492308,-0.46069548745859357,-0.39580374905905025,-0.5409036196405643,-0.47712544244761435,-0.06554591198146459,-1.1778897482178197,-0.0976323268942096,-0.9419656285593697,-0.41694105760335315,-0.7709959641500488,-0.775532328993455,-0.3526465641702346,-0.08373551256767116,-1.681960476131521,-0.36932478088030324,-0.6216584821773853,-0.7118404849829025,-0.14045093130451006,-0.03775121604737928,-0.13192190919257363,-0.17896189178126123,-0.10002946109709149,0.0699250096113504,-0.21171716649671832,-0.2860891532837782,-0.16571588946611598,0.00773794059980807,1.4174197278289662,1.4592217417946156,0.9843458157833683,0.501992911034017,0.012378782410090678,-0.04164178632652697
20190331,20190424,20190424,0.0524,73146794654.0,69004904589.0,,,4712100657.0,3671935690.0,5749447902.0,,,2601879630.0,,81909725499.0,25389888042.0,404782085.0,,568877396357.0,,214420472895.0,248658072018.0,30639110238.0,0.0524,-0.18645030969629167,0.005606164189369861,-0.0866257641630901,0.003186998680959296,,0.26381825765846817,1.9745513364966158,-0.049833546188492985,-0.09642855487871586,,-0.30029626022796657,-0.18250138178298142,-0.022705753310141238,0.004671235787337762,-0.08856616138911508,0.004824757686337323,,0.3347737712659394,1.9626829941875534,-0.05592814056925445,-0.0899316172755468,,-0.2783589922518476,-0.16533051904278587,-0.021920471461741652,0.04550214064671,0.02672743266007764,,-0.020102747843964625,0.4782352606408129,-0.04565995273943847,-0.24906738752139282,,-0.34830298429612305,-0.2711745874857697,-0.03925155690697262,0.01746702681225033,,-0.02502645825174717,0.4057062350933656,-0.04582463087296609,-0.2556535087793839,,-0.3455272885733236,-0.2737694088240952,-0.04050078514138879,,0.010648761952817996,0.7983429495200242,-0.04602760852637052,-0.1119331923911744,,-0.2230946519814484,-0.16479190755021095,-0.031237459939523062,,,,,,,,,-1.1468801887545255,-0.11241820784681132,-0.9364178961609817,,-0.7604395126812307,-0.7906277417219396,-0.41180063435326186,-0.07880216845948451,-1.6682570778257642,,-0.5864332900128151,-0.6997050010294025,-0.06218398727310008,-0.048969423358620714,,-0.18159273935064982,-0.11418704596532178,0.06503893107310249,,-0.2624596695620096,-0.1578786333065937,-0.02098598639890839,,,,0.5017504959857044,-0.022746003058078355,-0.03868470205832681
20181231,20190314,20190314,0.1321,290876776866.0,277669099110.0,,,11921350859.0,9300663815.0,16883547772.0,90458568220.0,17842702983.0,2388327329.0,,75924546766.0,25884163079.0,462476394.0,,541762283984.0,108602874650.0,213794008785.0,224821990766.0,30062906482.0,0.1321,-0.20268166019613004,-0.04475389401303235,0.0541024481909204,0.025315150309351064,-0.10509951772834085,0.20564881727627563,2.067935969865981,-0.050656322800243,-0.1327730980786816,-0.32696405866079836,-0.336987513683595,-0.16049623061233462,0.21539876587949477,-0.04500443865519023,0.05332613725739332,0.02296325299310071,-0.08215476626994023,0.29653626820099194,2.0533237032974516,-0.05638272830632215,-0.12298347669845727,-0.4360957304159597,-0.31520085768776823,-0.13984215135038736,0.19609460235631873,0.05727369402546693,0.043577660076971725,0.025851639063132422,-0.04542214234643562,0.13370376207200735,-0.04589866743622534,-0.31222381957843115,-0.13600006171873955,-0.40695808466300254,-0.3207028323356914,-0.028707449504953575,0.035055018678415095,0.03359588369961092,-0.04607849480246647,0.12186201644317037,-0.04546563761098756,-0.23581712012242959,-0.12598491017582017,-0.37813933547648465,-0.2980861128475563,0.0010165771174373546,0.02983131447500654,-0.028442514014453846,0.3682132157522442,-0.04547146801392202,-0.26591728369521994,-0.11043628961426406,-0.30494023329378206,-0.22965697662516443,-0.04822850259627541,0.07882316509996379,0.5035470918518627,-0.04673373887665668,-0.5422660359719509,-0.5277795879183531,-0.6154124062600449,-0.5243777852713297,-0.23220954603139393,-1.169237698484531,-0.11348432315369687,-0.9444546167652653,-0.43715177323161647,-0.7898745216084961,-0.7948070846443108,-0.5935661299000946,-0.0848250191210127,-1.6674522616158904,-0.34277934802841414,-0.5691738506869121,-0.679567398525339,-0.37659810723380704,-0.009554117886613452,-0.12049223791301233,-0.16090459604679203,-0.03741012684250567,0.07612894813446015,-0.19470663482425365,-0.2521934555921321,-0.10418274074269815,0.15055796519899484,1.5253500892118497,1.834203893229784,1.4081887466643148,0.90999740174806,0.18854482318149474,-0.0385951676391654
20180930,20181023,20181023,0.1143,219711544759.0,207538404401.0,,,10718050059.0,7906211226.0,15761840320.0,,,2740340357.0,,89707714130.0,25795102750.0,161006239.0,,550280079554.0,,213628999030.0,235063830845.0,41726601665.0,0.1143,-0.23815048112415152,0.06881568840364208,-0.00522651981612165,0.0004276073710603541,,0.13559003275572876,1.7948485434193853,-0.051326460235839685,-0.10423677453784526,,-0.34838975955250506,-0.1672798046219932,-0.07104753340988672,0.06840713152122078,-0.007667448788724802,-0.001364493912796624,,0.23100672544815648,1.7723339800028384,-0.05904400092376582,-0.087239502237948,,-0.31611505058171513,-0.13737924523948505,-0.07387669205204217,0.042914688671387674,0.045268203557823836,,-0.03781476969009648,0.080402412766642,-0.045706580915583175,-0.35451024521377095,,-0.4247121482698025,-0.3350369170048435,-0.03299133785760987,0.04413112166752727,,-0.03982261599036446,0.026649159744281576,-0.04591139035409937,-0.37543643556237777,,-0.43318699389709275,-0.34922532595622513,-0.02527254511803473,,-0.023526531673103365,0.44640993782670957,-0.045532605221619005,-0.2503606767989595,,-0.3096250213029109,-0.23693883534844284,-0.05538036720631713,,,,,,,,,-1.1870475036599974,-0.13382976052857126,-0.9559598678644523,,-0.7775598182529825,-0.793546151544953,-0.3513390129747864,-0.08658202702733205,-1.5842944777769632,,-0.6459456275807212,-0.7202811858923499,-0.15082940138943235,-0.013813810315940762,,-0.16326945175427315,-0.057128038133791956,-0.06549846960476731,,-0.3047686862261332,-0.13941513216820903,-0.09100975063702987,,,,0.7643398896174637,-0.08507928338160471,-0.18235247593920675
20180630,20180816,20180816,0.0849,149105188927.0,140590594109.0,,,7790173174.0,5891615388.0,10974418566.0,48794366402.0,21210716639.0,1939140323.0,,83651886459.0,25847119014.0,165977279.0,,552545018326.0,108042006249.0,219335706739.0,240400886070.0,38117834294.0,0.0849,-0.23085554250112567,0.04452700864026318,-0.03546854790123313,0.04121521958386082,-0.09027888233357442,0.16345817845757737,1.978218011989026,-0.04927224612113838,-0.09277356754212335,-0.04643631898034303,-0.33044968183308654,-0.16096214172047216,-0.001720963609773306,0.04283964725601423,-0.03975593262989749,0.04124857212929496,-0.09204484935009509,0.26767194379266274,1.9397713838025121,-0.05414572468682782,-0.07585143768210366,-0.04614854034260578,-0.29977292860246285,-0.1324476045688331,-0.02620095496278366,-0.014549757894640535,-0.030244700914862845,-0.031231929267077903,-0.031109566305764464,0.2301812656482763,-0.04530811978755436,-0.3000334367359553,-0.07161522751261566,-0.3958938653432632,-0.3103291387791456,0.03653914573841568,-0.04359668854194962,0.004959912821164389,-0.03299062819979062,0.17478744185876302,-0.04540472601019582,-0.31026504705857555,-0.05797310571109307,-0.4011360851164869,-0.3212718982330328,0.03682484749176839,-0.007910806351633826,-0.014028216217162354,0.558560827513291,-0.04522057503519075,-0.20268393750360977,-0.13009213349022322,-0.2838267148263078,-0.20146706623137184,0.03898826203874613,0.025643045803931536,0.5086098119676894,-0.04703576644204009,-0.5360064492978106,-0.3432655649011788,-0.5962022553628971,-0.5172228419658995,-0.2711446775049845,-1.2077352849007836,-0.1584347718585987,-0.9542364140273748,-0.4665421468469957,-0.7654452711735809,-0.7787505489917843,-0.2024527027701341,-0.07924077242340136,-1.6361164540612216,-0.06166680894064011,-0.6586851904185024,-0.7059041635732719,-0.08916978311939443,-0.02343779590168618,-0.13088089468801128,-0.16730521839392773,-0.06776584068721689,-0.040456054830888516,-0.08612893897513647,-0.3133944673929711,-0.1366909319284616,-0.04163087631609322,1.4207603204691175,1.6038414126114158,0.19509469542524055,0.7840229212615009,-0.027316993194607706,-0.1026037977434758
20180331,20180421,20180421,0.043,74935058630.0,71201386082.0,,,3843705455.0,2984900269.0,5140209871.0,,23694773294.0,2814215342.0,,93645157381.0,25254057509.0,197494028.0,,574649584386.0,113936655716.0,236039825143.0,263706588948.0,45758248361.0,0.043,-0.24477427444057148,-0.027325266941844326,0.04507756138828839,-0.05127341998493033,-0.06328657096780266,-0.04873754069402136,1.5904696564514835,-0.06064682461209412,-0.07667628140110389,-0.05383346468119266,-0.35947595284511896,-0.20146380042878087,-0.0791931293751914,-0.03001629813933626,0.04296948142914091,-0.051343085911314854,-0.0652687994533185,-0.048444094297154655,1.6399142385726968,-0.053719389436547256,-0.05256893207582444,-0.05261351515603166,-0.33325180647467384,-0.17110109508365087,-0.07233990701578873,0.05577738248421843,-0.025350812027940414,-0.023384758048496216,0.043179456871742475,0.1470698971569672,-0.038644417316537755,-0.2883696834666889,-0.1377430355326981,-0.3272868077826913,-0.2629548225629793,-0.14410396264805062,-0.02490453290532186,-0.010351909031455993,0.0425484353411012,0.11746541888678608,-0.0626043166900396,-0.2909566081874378,-0.11717105368014076,-0.3228763962676935,-0.26321085332693195,-0.14264053169350635,-0.008873059989308811,0.04743382920873984,0.34027223214038826,-0.06180487995629466,-0.2339443214414695,-0.18784924319193502,-0.2850035978915625,-0.2229929140774532,-0.03546893518919818,-0.04538861210282737,0.52515958322905,-0.05194964721744289,-0.5083191130277953,-0.3638840009548532,-0.5699020801493873,-0.4945778770686462,-0.23468233913293401,-1.183113075292152,-0.0450643213164866,-0.9501068984216174,-0.0940989110402742,-0.7755413571424163,-0.7809242481327516,-0.19380077857521094,-0.04555605749822386,-1.5671538245518426,-0.10630170588780762,-0.724704574702099,-0.6772604147752578,-0.09791148490703512,-0.05920643788687859,-0.23421308623604875,-0.18151887843427714,-0.13797301592172354,-0.07254080333393607,-0.16337609181744714,-0.36419267304813696,-0.19668523586328446,-0.061529589539450175,1.339428397796305,1.4828610028198073,0.16483849423211172,0.7020669883949535,-0.06309520307602552,-0.155343281990222
20171231,20180316,20180316,0.0188,274828946271.0,271716995686.0,,,1513207054.0,1683958109.0,7387444544.0,87232328083.0,18509160971.0,2238565451.0,,76771466124.0,25932236753.0,279995211.0,,573617337800.0,118861123967.0,241614197499.0,266598974685.0,32875825419.0,0.0188,-0.3675806652122233,0.3417446462336102,0.7544514905018909,0.06643499168828286,-0.07508828004128418,-0.03902334683991934,1.9809535005537788,-0.061419566072279046,-0.23718057255716157,-0.34739012977909806,-0.43436921466569955,-0.2921173439431404,0.03945913247640311,0.32609644537535876,0.741945550931609,0.06541801772085613,-0.08085747892685312,-0.036471375006430426,2.080996536932497,-0.05466424556675517,-0.1824519455235359,-0.42450427569931176,-0.39492229332962453,-0.2496603292674342,0.043651410489613414,-0.23501015115221124,-0.07478578174873568,-0.04952448933468657,-0.04710794537630478,-0.49362091758460774,-0.04405603622656467,-0.770761656144052,-0.16642247731485707,-0.48086302235057166,-0.45003967661156896,-0.42104740210349284,-0.06587898004636994,-0.04793532820490025,-0.047185587931517996,-0.3985657758697938,-0.05251780940954606,-0.6040880578174226,-0.16432141141338244,-0.41547247102682255,-0.41710196557358703,-0.3625247531286936,-0.04485962836376171,-0.04643733806032912,-0.15407395011356861,-0.043681447909176864,-0.5803709489276853,-0.12228415411401856,-0.40851212418630267,-0.35807743730925296,-0.14558274418957082,-0.03858696637458423,0.5151798826293458,-0.04772225934475517,-0.5549193849917453,-0.4300265089974019,-0.6117768546172246,-0.5428279783722944,-0.2604404351652537,-1.1761598371356645,-0.0457640787770615,-0.9437724722746345,-0.4182932183613514,-0.7781791780382618,-0.8058125979981623,-0.20493414710507973,-0.0475630201601836,-1.6655293497942696,-0.42145516663796456,-0.743078482390016,-0.722883481773742,-0.08757678473308021,-0.040818468563079253,-0.23566075740567927,-0.18567617509074014,-0.12006915189112906,-0.03061448025495504,-0.20022186732225758,-0.36267192722878316,-0.1920097059683454,-0.010189425880465208,1.3786691302669596,1.5641479730931747,0.4541836389907932,0.7470495387114642,0.10631934079615993,-0.012991002071758238
