end_date,ann_date,f_ann_date,basic_eps,total_revenue,total_cogs,int_exp,oper_exp,operate_profit,n_income,ebit,ebitda,accounts_receiv,inventories,amor_exp,total_cur_assets,intan_assets,r_and_d,goodwill,total_assets,acct_payable,total_cur_liab,total_liab,c_cash_equ_end_period,basic_eps_Z,total_revenue/total_cogs,total_revenue/operate_profit,total_revenue/n_income,total_revenue/ebit,total_revenue/accounts_receiv,total_revenue/inventories,total_revenue/total_cur_assets,total_revenue/intan_assets,total_revenue/total_assets,total_revenue/acct_payable,total_revenue/total_cur_liab,total_revenue/total_liab,total_revenue/c_cash_equ_end_period,total_cogs/operate_profit,total_cogs/n_income,total_cogs/ebit,total_cogs/accounts_receiv,total_cogs/inventories,total_cogs/total_cur_assets,total_cogs/intan_assets,total_cogs/total_assets,total_cogs/acct_payable,total_cogs/total_cur_liab,total_cogs/total_liab,total_cogs/c_cash_equ_end_period,operate_profit/n_income,operate_profit/ebit,operate_profit/accounts_receiv,operate_profit/inventories,operate_profit/total_cur_assets,operate_profit/intan_assets,operate_profit/total_assets,operate_profit/acct_payable,operate_profit/total_cur_liab,operate_profit/total_liab,operate_profit/c_cash_equ_end_period,n_income/ebit,n_income/accounts_receiv,n_income/inventories,n_income/total_cur_assets,n_income/intan_assets,n_income/total_assets,n_income/acct_payable,n_income/total_cur_liab,n_income/total_liab,n_income/c_cash_equ_end_period,ebit/accounts_receiv,ebit/inventories,ebit/total_cur_assets,ebit/intan_assets,ebit/total_assets,ebit/acct_payable,ebit/total_cur_liab,ebit/total_liab,ebit/c_cash_equ_end_period,accounts_receiv/inventories,accounts_receiv/total_cur_assets,accounts_receiv/intan_assets,accounts_receiv/total_assets,accounts_receiv/acct_payable,accounts_receiv/total_cur_liab,accounts_receiv/total_liab,accounts_receiv/c_cash_equ_end_period,inventories/total_cur_assets,inventories/intan_assets,inventories/total_assets,inventories/acct_payable,inventories/total_cur_liab,inventories/total_liab,inventories/c_cash_equ_end_period,total_cur_assets/intan_assets,total_cur_assets/total_assets,total_cur_assets/acct_payable,total_cur_assets/total_cur_liab,total_cur_assets/total_liab,total_cur_assets/c_cash_equ_end_period,intan_assets/total_assets,intan_assets/acct_payable,intan_assets/total_cur_liab,intan_assets/total_liab,intan_assets/c_cash_equ_end_period,total_assets/acct_payable,total_assets/total_cur_liab,total_assets/total_liab,total_assets/c_cash_equ_end_period,acct_payable/total_cur_liab,acct_payable/total_liab,acct_payable/c_cash_equ_end_period,total_cur_liab/total_liab,total_cur_liab/c_cash_equ_end_period,total_liab/c_cash_equ_end_period
20200331,20200430,20200430,0.3947,1596143138.09,1009942850.76,,,594159583.73,441714272.29,621639555.07,,231949215.51,3845619617.45,,7713285538.41,254697301.7,,,24270523750.28,225898105.03,5382998030.96,13860962583.09,1334598224.3,0.3947,0.19015961123908748,-0.15779260951903942,-0.05286628407379481,-0.002976593118093976,-0.050636762269933445,-0.10058297002142917,-0.24885852798375477,-0.05477454372593994,-0.4024512947498902,0.5904755314735002,-0.2246781574429117,-0.5347621254798355,-0.0876724551137641,-0.15921296648533828,-0.05303226972641832,-0.007626685643744579,-0.05108992828659657,-0.10246055208775987,-0.5398528202437095,-0.05433479951152528,-0.5917775196398366,0.3117626716911024,-0.49296132459397624,-0.663689032070546,-0.1992220909405501,0.006541638516808133,0.013707541544528459,0.051206928310927824,-0.06541355267960125,0.8395503595444022,0.04159903781868017,1.162046766437591,0.9745260984171059,0.9828065642842422,0.340598156452465,0.9483730526484382,0.012007557941591522,0.049633683160430216,-0.054395510341717114,0.6825257317221918,0.042304684595563066,1.0349019804482822,0.8868765214040639,0.8674696759348649,0.30413466423032653,0.7594248150084955,0.051608870366959055,-0.061739972063671274,1.144346852855168,-0.04573298111112299,1.3125610258347953,0.890368718177236,1.1115710474155749,0.38295905869527125,0.7880488635883157,-0.2112535339899751,-0.9568014501071048,-0.0457221636458633,-0.8296112074900089,-0.14724146261270094,-0.8111704010142878,-0.8168357476539616,-0.19707952190000919,1.0951301235603985,-0.07050092689242704,0.001998900476068609,1.5735137016598852,0.3907073939011751,-0.20518526841039464,0.05890231148229428,-0.07401462079502084,-0.8989184644097438,0.3242467641790899,-0.2228509655854515,-0.576702662930006,-0.08638976698426754,-0.49183209943748446,-0.06905940770256491,-0.344145019917391,-0.5445012629397173,-0.21413484481536132,0.3200966871012329,0.06696363509921019,-0.36867634162000096,0.01701935931440078,-1.235622673472661,-1.1807411965911034,-0.5156492678041392,-1.9109622245197744,-0.15292828600023006,0.018658699555143838
20191231,20200418,20200418,0.9666,3352382770.97,1977237709.6,,,1436728392.89,1080636613.28,1508890561.78,1900806485.58,181276079.67,3954545278.48,,7859570894.63,256664275.7,,,24604970339.26,357420338.48,7024886102.12,14450896004.22,1159947907.72,0.9666,2.470109048877883,-0.16651628175657987,-0.42595502038796645,-0.12993755425740677,-0.06972887128845996,-0.1060296779056546,-0.8474746180457245,-0.04933753688470258,-0.8749199273727409,-0.13935323870771538,-0.7639219243090386,-0.7958257838291075,-0.34153627628408184,-0.16806584234029887,-0.4302201166032775,-0.12736046742600063,-0.0728154351920809,-0.10219526627837361,-0.923680331126674,-0.054644503313306336,-0.9420520599580698,-0.24139784611444187,-0.8398916247490228,-0.844680127425119,-0.4185245305822087,0.09141960705200225,-0.00845534336534134,-0.03836593741585066,-0.1211355517870002,0.21471674038804886,-0.04503156442297497,0.29039383238632577,0.11878425418045134,0.00632900397352356,-0.1536106028501109,0.40071323937827474,-0.026658359041749857,-0.026101814105530797,-0.11690753004826633,0.17278678337829328,-0.045048845957821604,0.22226174143816085,0.09569428014185093,-0.03084684777768028,-0.16853777713492946,0.33843648791572534,-0.010629111979386548,-0.12938123894041123,0.2551697659402447,-0.045874445666234984,0.32919300144090413,0.13467514450488172,0.10210008486872506,-0.11266038418816432,0.3224831047345211,-0.19444175169773195,-0.9664616989447962,-0.046098753719658964,-0.8008102687584346,-0.32868287498014837,-0.8423826852849624,-0.8054593974013308,-0.21701051464133472,1.1063066404645918,-0.0754142720674087,0.012897890936183336,0.951907533850733,0.15145882287941914,-0.20978634665079482,0.29366716038175045,-0.07313500878174745,-0.8684113175885145,0.09151940224745093,-0.3467557067435701,-0.5915078532018246,0.025777996093577803,-0.4955672848016969,-0.10433156301702892,-0.37351126632495985,-0.543872922459714,-0.2168732055241376,0.14618667341972444,-0.10917481774574424,-0.30461917094563,0.2535556979415548,-1.2342287189614165,-1.1746860731858337,-0.5581232507469633,-1.460535250477772,0.03880901214662135,0.25262011393898665
20190930,20191031,20191031,0.528,1985121818.77,1226641972.89,,,794814546.72,590005747.3,836431773.88,,205932956.95,4225107806.6,,7299686600.52,258586312.59,,,22824405102.15,513823062.67,6381162516.04,13226513767.21,1324396683.53,0.528,1.9044087732693018,-0.057130827668425636,-0.1970901605832291,-0.1460500543757881,-0.1632429774142774,-0.10144713847786517,-0.8596514427483108,-0.050404908041177005,-0.8952296891322387,-0.32574691708299675,-0.730123970449602,-0.7745105274980187,-0.14468218513756612,-0.05673196619579269,-0.17556184476836073,-0.14380189604963767,-0.18254891371134102,-0.10114080118873249,-0.9309233629652021,-0.05783520190542133,-0.9301323659101437,-0.47203221806120904,-0.7686406947860807,-0.7992736242884271,-0.1605633068516358,0.16821856913075106,-0.014565053923458004,-0.06825421587231234,-0.0836631452209578,0.1060483958037401,-0.04509850478156552,-0.000458072673621122,-0.037250556950777225,-0.1621538982229461,-0.2679845462331467,-0.017738412528623643,-0.03495309624781414,-0.07672543052241027,-0.08725183844295405,0.03486009719829828,-0.04519352035601475,-0.07137415203339079,-0.056341809819690114,-0.20288930951556836,-0.2913676123596618,-0.028809514249488695,-0.028424733179705005,-0.08279120039646559,0.11121352314571083,-0.04545388530472844,0.0227126195143421,0.009866586669749652,-0.05302009460248963,-0.21340218889980522,-0.035995764074983276,-0.10005020132479334,-0.9935399918718784,-0.045799773409571795,-0.8319336864071633,-0.40145317569160693,-0.8268966773225795,-0.801945686637039,-0.13205171630803167,1.4842546985676823,-0.09096631468041394,0.14091102771299865,0.34415322166111956,0.25903189925194137,-0.1213792781557959,0.12871191743125576,-0.07986552933475162,-0.902970501692883,-0.0628069501757018,-0.35163838114297935,-0.6191473626941899,-0.07170668548460873,-0.4750226914643771,-0.11576527475021894,-0.3348103374138099,-0.5246187804890141,-0.24143143042889895,0.03253533440729585,-0.10483733134933539,-0.362957242318909,-0.04013734506913947,-1.0319587217707522,-1.045305022409356,-0.4645551596869994,-1.4204472277734042,-0.08316007638122157,-0.03410613314222793
20190630,20190829,20190829,0.3961,1427343004.38,868465628.09,,,587847508.67,442904498.43,606848953.37,639674641.52,204306296.99,3541389949.91,,5669524304.7,260378660.01,,,21247928726.17,733484071.66,6031527459.35,11740695935.35,1115956297.18,0.3961,1.6947649581448119,-0.27112615078172636,-0.23987971549891024,0.0397678149762845,-0.08431473998256649,-0.10596336903332797,-0.7691286348780164,-0.04987161943146141,-0.8305723924531313,-0.34482457385804227,-0.6913552112970778,-0.7479439850862706,-0.1786339102459647,-0.272654788628919,-0.24443899919179607,0.039656481941189904,-0.07875707884051511,-0.10591783949349245,-0.8963742222378358,-0.056798442138555935,-0.8782029752820881,-0.45850385079906436,-0.7369424433648973,-0.7781564328000897,-0.22253202891788265,0.015219505202347737,0.0419582378318642,0.03259048457186869,-0.08851356734080956,0.4183724226539756,-0.04476448975425988,0.11132826334532771,-0.07988937002728644,-0.0802041214516106,-0.20965557649182057,0.014272025941715238,0.03927153826476505,0.035364244849302034,-0.09239087054200494,0.32014218331211713,-0.044836688453165234,0.0379637852378749,-0.0922552821968117,-0.12457420832955926,-0.2364842760275558,0.006094295906458637,0.03606320088435436,-0.0864197058787508,0.4452084173378784,-0.044744395660109154,0.16577649335067438,-0.02568119055824693,0.054300423661768786,-0.12937606545162436,-0.005026395986284446,-0.09900149464670362,-0.9223282126250473,-0.04585441472438712,-0.800568073395676,-0.38477521674056725,-0.826528970223113,-0.8056355620914746,-0.10226930785406602,1.7175399040770765,-0.09390534643176941,0.039225339393854045,0.08653457952981251,0.1348785116784184,-0.15580216154385285,0.09740857116377037,-0.0823813073259382,-1.1349188227877123,-0.20815398515532876,-0.4043084279229807,-0.6165820299577319,-0.09703133567652254,-0.47378521588110784,-0.12340941562427864,-0.34756247285235287,-0.5330031246628762,-0.20834440766920306,-0.073995296853659,-0.10806895013433691,-0.32167659403996185,-0.010848169323714362,-0.7734722512189478,-0.8859345596996476,-0.2813199207913457,-1.2796993401978496,-0.06105420119629155,-0.0012772354733147898
20190331,20190430,20190430,0.20199999999999999,828367040.85,529363886.37,,,303027971.08,225938418.52,320277197.86,,220153773.18,3487260260.74,,5193057253.88,262293063.26,,,20843493092.77,,5587775140.94,11068399546.29,846659013.32,0.20199999999999999,1.2426901913229413,-0.04153518525273707,-0.17697022138574414,-0.0855944322061758,-0.054224226485471566,-0.13421485688972215,-0.6183184753442794,-0.049771914389879685,-0.7651030629214417,,-0.6918742155899911,-0.7344123846306493,-0.06311032290870087,-0.04282583090955445,-0.18018777367485622,-0.08484618706279011,-0.05987881898274086,-0.13882542011956098,-0.7811752697574589,-0.05628468864811431,-0.8264265744852893,,-0.7615285351979499,-0.777375438291871,-0.07337702679276761,0.11039485295248475,0.03504925358860237,0.0008599135416255195,-0.11598514080349726,0.493703815722202,-0.045261378684240704,0.1246472512293452,,-0.03415273402727284,-0.1678631481562056,0.02307887085749889,0.022481879466302652,0.01074087770370854,-0.11686981111191139,0.37755086462877646,-0.045420739974486375,0.05750763273084494,,-0.07639977903416624,-0.19081263587234168,0.010549099831845248,0.011875259457124957,-0.10914308832244372,0.6222132211601088,-0.0456878291837267,0.24757820762139138,,0.13709573863639565,-0.07936545204519292,0.021291261391917247,-0.12665531563518845,-0.8868524034622696,-0.04623852976490549,-0.8153235812269377,,-0.8090117052980502,-0.7920644855725378,-0.3530662093755105,1.9465109267656069,-0.10766923571127142,0.04533305571722585,,0.1900984426907412,-0.12497022204945046,0.4502484222057525,-0.07760100454528011,-1.2043833315603278,,-0.3883688489942318,-0.6145456231136539,-0.04495005888166431,-0.46829104684693856,,-0.32099528395021243,-0.5247711445801604,-0.15825607020219354,,-0.07479436560220658,-0.2764869465040074,0.0076490223843507345,,,,-1.2959919878736064,-0.02688634463575871,0.010092499438266104
20181231,20190413,20190413,0.8705,2761458409.82,1623442653.43,,,1288397777.54,973867869.33,1211885755.15,1616151247.08,203492979.5,3419888366.72,,5291046828.83,264249919.34,,,20346942067.33,1415692681.32,6651549105.75,11275972785.35,788999384.54,0.8705,2.1489966590221514,-0.05279269377409303,0.017826897160688544,-0.07839493682293547,-0.1074815917216044,-0.12741392552111758,-0.802375203301165,-0.05070194268769896,-0.9170762912016575,-0.34966456570873267,-0.8175503044178004,-0.8069362157897861,-0.3009243372438998,-0.05290531336088145,0.016934825840825677,-0.07998286988948064,-0.08614908636749809,-0.14225608087066086,-0.951811179859616,-0.0569125207570042,-0.9776242433853289,-0.5035659794223027,-0.8838249701910041,-0.8607302022314934,-0.38595769081968706,0.06146801717531781,0.08270341283554129,0.0322171062783778,-0.08339433325550769,0.45569709694657384,-0.04537194445013861,0.2864376618622423,-0.0849845735711539,-0.04619188711196454,-0.1276709933127469,0.6396503949262305,0.06622774646614928,0.03799023957745098,-0.08507464905738421,0.35289761433707295,-0.044929932065853155,0.23116049686908677,-0.0801885710425433,-0.06708911486017703,-0.13385156739521023,0.47869155598722457,0.034693826745507535,-0.08595133097776916,0.39605491088039196,-0.04507926129326396,0.2131160076913096,-0.0696895567976183,-0.007335858591717927,-0.11366365705575296,0.5864762156196223,-0.0965876287805932,-0.8650643621878528,-0.046707882957128855,-0.7852299466706737,-0.5374678820546276,-0.8135070800641345,-0.7809818126980429,-0.4168581551224229,1.8437472668600243,-0.10810910557855079,0.05210246586713828,-0.15009422743134948,0.073112429510219,-0.13875110182800304,0.8149688679487321,-0.0832049902936741,-1.138315753581377,-0.27156321010336715,-0.40514551425032913,-0.5980179379148881,0.06930007579776595,-0.46053807541441716,-0.12422478023976598,-0.31883900062649556,-0.5209259932811487,-0.16024682813184132,-0.14245385464630989,-0.1582066800495598,-0.2753893425639316,0.47559830193568026,-0.24590734920392998,-0.5073326837695861,0.3781222536445221,-0.9765379470359452,0.32792370139058125,0.3765563364334115
20180930,20181031,20181031,0.5061,1266231841.02,571456041.17,,,743481997.44,566752544.87,759609371.33,,237660551.89,3705501285.47,,5372360943.24,265574832.89,,,20538180287.38,,7166972402.25,11708101492.17,859524800.18,0.5061,3.0,0.051934852464692885,-0.0970052723949932,-0.043589430520687464,-0.09532640525520693,-0.09136362448486708,-0.9933502166823868,-0.0516290491576446,-0.9999740761773459,,-0.9984299856210294,-0.9110966641316237,-0.1893278228942596,0.05180651611876577,-0.09768122906694163,-0.044720185520974697,-0.09144225984818778,-0.10850170979443702,-1.0994612303732403,-0.060078337154749924,-1.028902660947994,,-1.0504952249600132,-0.955383577005824,-0.21265606537186252,0.009674475665370576,0.062464102122188635,0.012255760579748488,-0.06483451500449668,0.16888521258174433,-0.04534469826102301,-0.023304418477301775,,-0.2449649719686028,-0.2619472428559953,0.08286771397318007,0.058742342205771375,0.014438836152564664,-0.06610754248254884,0.11518183030057436,-0.04554043726907281,-0.06025973920654475,,-0.26456691837135743,-0.2764974682152445,0.07289304782589778,0.026205565213431575,-0.06530953547490069,0.22692078480904337,-0.045247432045379336,-0.07056370839024416,,-0.1917095309890699,-0.24662449297891934,0.06614350269064956,-0.07587842730691349,-0.884456520096694,-0.25037106749123866,-0.8139107061713418,,-0.8245217165188954,-0.7795315268828036,-0.36222655455582126,2.0121301372913014,-0.12672655685352804,0.10409157287506345,,0.021613880706222128,-0.13111731221385628,0.25964720355293963,-0.08490973780536555,-1.1474203115756494,,-0.502228794815691,-0.6669218044233448,-0.07851464219645751,-0.4549273644158167,,-0.31107841838967965,-0.5212715407085455,-0.1541967733091231,,-0.24153511683938997,-0.35504913918864,0.034527626911083645,,,,-0.7271986701250359,0.09030367536939099,0.170599627885327
20180630,20180829,20180829,0.3564,878638488.1,391736372.5,,,530693336.67,399578232.09,522919106.57,735813374.76,235701795.48,3520130081.9,,5121151572.61,267860079.08,,,20306799647.05,1308848407.01,7044059848.07,11622073673.04,798788695.12,0.3564,3.0,-0.022938759870739588,-0.1921507201992561,-0.08511555297017692,-0.09500578738759774,-0.08725255538150818,-0.9370945986025875,-0.04959295637891935,-0.9836349090830654,-0.04673145994791428,-0.9264241472774385,-0.8829865415552358,-0.3307002443324425,-0.018492112022489775,-0.19627321911794973,-0.08543655022223481,-0.09929014299062129,-0.10252729912009825,-1.0492231308353155,-0.05523749927706153,-1.014170499070834,-0.0465645232676073,-0.9745385465157573,-0.9265240997602371,-0.22990502416461522,-0.012017629482634486,0.038172399316750406,-0.01699693334632064,-0.06394280142315562,0.31886614088388193,-0.04490019468668214,0.02389626784704173,-0.03953105711959146,-0.19816584344792776,-0.2287732809317768,0.10085321334587755,0.014028804399029846,0.017704152036157803,-0.0654720665762523,0.2494142321473222,-0.044996458037351146,-0.020834840364870502,-0.03168705375233158,-0.22369957826000902,-0.24777224374022075,0.08519590265910168,0.004748865229659309,-0.06243930702191354,0.290650552344229,-0.044900792657583614,-0.02461768259270985,-0.09338495565114881,-0.15466575189918313,-0.20583825518283783,0.08285853938686555,-0.07054191139185666,-0.8661771010335941,-0.047013683466403416,-0.8043567904257202,-0.34736810791844813,-0.802407236146959,-0.772451667716637,-0.3697287985000387,1.9646849476429136,-0.1474856357453452,0.06682667732093488,-0.14404316708560988,0.0023564108065552564,-0.14645739251915274,0.13086002249993273,-0.07739111512872932,-1.1859127444758477,-0.05796964249756829,-0.5062059166613481,-0.6438285982313291,-0.04412245063886048,-0.4584022625924652,-0.13362365091279815,-0.3155749026706185,-0.5315524618134553,-0.09071494316644604,-0.07426097044436526,-0.23021891244144077,-0.3312406227236103,0.03261292806817618,-0.4204250756494802,-0.5841643013824048,0.014442683226355361,-0.7730949283857179,0.09522935572936589,0.20036257099750318
20180331,20180427,20180427,0.1841,422671570.26,147941505.19,,,278169891.41,206547422.89,291208152.55,,292118098.04,3300812427.85,,5000361142.49,269580512.84,,,20678037247.19,1265051784.03,7090896852.19,11480940469.59,968900817.12,0.1841,3.0,-0.11850116692384968,-0.056304823713954635,-0.058373505425359795,-0.06525595708687273,-0.052168355343817904,-0.8681303988296596,-0.060812241258735654,-0.9972812645766291,-0.055184106633336005,-0.9035424423259943,-0.832586757528812,-0.3839457958538933,-0.11901280997226032,-0.058610853845563,-0.058336652176360436,-0.06817992800856848,-0.0513172951765018,-1.0326825720873898,-0.05400014694875681,-1.0627680986607586,-0.05472135716861042,-0.9990860405513612,-0.9148410693024946,-0.39472041634501664,0.10480562502202438,-0.02082254536724153,-0.0005939586392064225,0.041978731254382125,0.39662691590670307,-0.038189561364729195,0.09952986400033323,-0.0667060813913544,-0.14397120407327285,-0.16812121511221143,0.5064225123336671,-0.022092793803034545,0.00824841361565924,0.0416005716150972,0.30752672540183495,-0.06232383166557839,0.04163202895766918,-0.05912843969414619,-0.16607019569586914,-0.1846592109410705,0.43865765221429687,0.008221120547736934,0.045819602241959724,0.3988758996330196,-0.0616116005217729,0.06544823135507968,-0.1070370089351519,-0.12435973266091123,-0.1630015683718212,0.2695020179589693,-0.046001206329847034,-0.7924383402267957,-0.05189894712156366,-0.7864677892567682,-0.3580764041957784,-0.7499309324482031,-0.7218692851607419,-0.29372754712264554,1.820997031944021,-0.0450462755893615,-0.023416111612585885,-0.06070511605790895,-0.07077574737718069,-0.19197980370023113,0.03144209719551789,-0.045536846906562706,-1.2196756948740786,-0.09317794670721301,-0.578134833280206,-0.6267512478047809,-0.061590434040434495,-0.462544373034751,-0.2356226482436885,-0.2985016329377695,-0.5253142490385067,-0.11351324590208842,-0.12295762098027083,-0.25504086026270334,-0.33309301465306196,0.0038078325771562518,-0.47816908510368,-0.5938405584669937,-0.045601691828467295,-0.6612620266081654,0.043878511952071354,0.11038962201354796
20171231,20180414,20180414,0.657,1673825791.76,821527501.74,,,976158068.35,734557083.43,907308623.98,1261187924.97,208015785.63,3016261688.19,,4592631230.6,260866661.89,,,20484594065.8,1838453976.69,7255697406.2,11309172326.61,815052642.45,0.657,3.0,-0.09249626415091079,-0.19054029905028183,-0.036529390094811,-0.07697470297669982,-0.0478474043753871,-0.9595804134913327,-0.061552918459506334,-1.1225448443380617,-0.39196847429642184,-0.8964665181370252,-0.862219828683724,-0.25393473674456074,-0.09155722744909799,-0.19304183115309334,-0.028364108909264968,-0.08458248100111451,-0.04804883717660344,-1.0897729823713456,-0.05488510840473661,-1.1569988914079201,-0.5059111542436681,-0.9463227984433471,-0.9088327731169317,-0.27094005957762585,0.013393082844717989,-0.05522830902798191,-0.047536007942253426,-0.0471988334809261,0.35520595677703826,-0.04350362822952354,-0.005760166986388036,-0.13099993250780215,-0.2110205423900312,-0.22339285480476875,0.6061095781269104,-0.053229506780792794,-0.04632078274139095,-0.047365076887277605,0.2765577482651932,-0.05196755093876429,-0.026397356090605825,-0.13265394873159278,-0.1967283511218815,-0.22582392946159474,0.5116848621620477,-0.04095192013998576,-0.04724027630585588,0.29973816012751164,-0.0432894196195631,-0.029058304873712287,-0.09552767729885656,-0.16437664332607912,-0.18269864323760057,0.2810862465882247,-0.05704355756922671,-0.8161983110404568,-0.04768585542264573,-0.7859038579355393,-0.4450664669493798,-0.7719044974352426,-0.7411729699165565,-0.4254460545079087,1.8544931449544908,-0.04569585715987798,-0.07580960918859365,-0.23154107833167248,-0.12144368766094105,-0.21672705537031137,0.11874034060942328,-0.047487892577800526,-1.2721344807728547,-0.3652825976080655,-0.5911175417522926,-0.645153713158663,-0.04282652913587878,-0.46980374962929417,-0.24961631286121636,-0.3269555726785882,-0.5240278713507865,-0.1031171585027493,-0.1633179312282495,-0.2575926721340944,-0.3234972095709978,0.05437892435652424,-0.051584613783280886,-0.2813320241142237,0.17920156839267115,-0.5747409952956801,0.20076843956650187,0.2888826186946728
